,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
0,0,BayesPredictor,100000,0.1844677241158574,0.19391038673846298,0.1855644674227307,0.8558347691953676,0.8459983209711933,0.8521830852611953,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
1,1,BayesPredictor,100000,0.2067808701711508,0.21326713816211854,0.2108008532461898,0.8382946340941548,0.8350056422789637,0.8357179611223556,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
2,2,BayesPredictor,100000,0.2138703962834956,0.22227632040171774,0.21306282343344027,0.8324808403569254,0.8262342311850679,0.8325919504410089,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
3,3,BayesPredictor,100000,0.24590832167528903,0.23722118295543765,0.2411034622452924,0.8078855246971892,0.8177386991881501,0.8117438167017641,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
4,4,BayesPredictor,100000,0.2139773488403205,0.21482513130199513,0.21733007570007531,0.833347828471631,0.8344416925680873,0.8304362291624188,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
5,5,BayesPredictor,100000,0.19704202433966167,0.19406808853563903,0.18971863379875437,0.845321081125445,0.848179622458195,0.8544645562640641,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
6,6,BayesPredictor,100000,0.23189065934544753,0.22983150831237334,0.23229351641600215,0.8196021973531331,0.812516825074055,0.81922774676941,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
7,7,BayesPredictor,100000,0.2203458491661244,0.2110645216088802,0.2145712204590273,0.8279155239544539,0.8325526048064068,0.8337259797527332,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
8,8,BayesPredictor,100000,0.23143369088404142,0.2300861193804706,0.23011679293787493,0.8197561871345292,0.8195535605496332,0.8179918572242322,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
9,9,BayesPredictor,100000,0.19835868006995347,0.2041283385469821,0.2020580117318469,0.844365840983896,0.8400947822701867,0.8419539078269017,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
10,0,BayesPredictor,100000,0.44999222297731256,0.45172626087927803,0.44571214232602924,0.6474434432700815,0.6428388976242831,0.6495835764849794,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
11,1,BayesPredictor,100000,0.4403807409680844,0.4413502458198982,0.4353498941640398,0.6555964182485237,0.6648159276062948,0.6681953159354328,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
12,2,BayesPredictor,100000,0.4657194450701165,0.45744869887688183,0.4736362097300558,0.6347702991414109,0.6371698565869924,0.6307100133173826,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
