iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.730411151614539,0.745275177798226,0.5633739458399077,0.7491831811385116,0.6520350176575678,0.8821300698069926,0.8772362808293952,0.9079762424788383,0.8776254175239866,0.8940068575127739,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
0,bayes,100000,0.7468127083032149,0.745275177798226,0.5633739458399077,0.7491831811385116,0.6521609888494384,0.8792385075796483,0.8772362808293952,0.9079762424788383,0.8776254175239866,0.8943229097876653,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
1,bayes,20000,0.7739884556092893,0.797090284722803,0.5727901088510609,0.7984698065347615,0.6752639898437038,0.8739570114036632,0.8696222679974316,0.9056975836366883,0.8685423665914712,0.889760274346302,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
1,bayes,100000,0.7801449708725071,0.797090284722803,0.5727901088510609,0.7984698065347615,0.6782071965167343,0.8726051056326054,0.8696222679974316,0.9056975836366883,0.8685423665914712,0.8888913931847829,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
2,bayes,20000,0.8025256853272361,0.827721278788925,0.5621750222404698,0.8004667592073866,0.6896337122976762,0.8696285958853629,0.8647912972667624,0.9082878326783513,0.869413370477987,0.8880772665572249,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
2,bayes,100000,0.801809924560556,0.827721278788925,0.5621750222404698,0.8004667592073866,0.6938713638715202,0.8691651424889195,0.8647912972667624,0.9082878326783513,0.869413370477987,0.8874612128038871,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
3,bayes,20000,0.8558687157004257,0.8773677301020467,0.5610772443535793,0.8985670436955981,0.7239128549493934,0.8593999410845057,0.8516290903327479,0.9069430949709512,0.8509690619448466,0.881158954110821,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
3,bayes,100000,0.8661220932314732,0.8773677301020467,0.5610772443535793,0.8985670436955981,0.7236161865731445,0.8572056854393719,0.8516290903327479,0.9069430949709512,0.8509690619448466,0.8800259556052261,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
4,bayes,20000,0.7758055174906593,0.832970175634924,0.5372271892688733,0.7836272539095008,0.6678441200587535,0.870299612133074,0.8599600699316384,0.9098261924139955,0.8684678388870245,0.8885648044800559,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
4,bayes,100000,0.7752183282518064,0.832970175634924,0.5372271892688733,0.7836272539095008,0.6593492878392919,0.870744184487693,0.8599600699316384,0.9098261924139955,0.8684678388870245,0.8900346759109562,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
