iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,1.0540638550812649,1.6205450220695643,1.5148433825674104,1.6647577494288275,1.3743091511442274,0.8299006898473975,0.7330594927629117,0.7525594125370985,0.7280717992087502,0.7765958242518355,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
0,gbrt,100000,1.3556420196676007,1.534860940695659,1.3989140599579717,1.5614943038729554,1.339770508606762,0.780789277334671,0.7471736036531381,0.7714957725732352,0.7449392641399978,0.7829016894254174,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
1,gbrt,20000,1.0730722029445283,1.696747351068876,1.448910050629853,1.7028963087859192,1.4983118072375863,0.8252516217024053,0.7224679868094782,0.7614558688145713,0.7196403459955121,0.7553942086978473,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
1,gbrt,100000,1.4001645912676997,1.6086176400301844,1.3752476569883092,1.598424385382475,1.4067886767291367,0.7713581105290941,0.7368831064859929,0.773583420614369,0.7368402847982775,0.7695301218306367,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
2,gbrt,20000,1.175801696979946,1.7945495403102596,1.65118005959422,1.796902636281476,1.667350066332128,0.8089893931143859,0.7068593963285644,0.7306296154885028,0.7068567105977431,0.7294007330237168,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
2,gbrt,100000,1.4772431456763095,1.6851327948164205,1.4615475257430155,1.6795642419744083,1.5206734374126487,0.7589517283916041,0.7247326787904587,0.7615659075437387,0.7259990737875118,0.7533624339057585,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
3,gbrt,20000,1.1027768547762105,1.6996413157595904,1.3877496920243528,1.7160871246736162,1.5207988090727425,0.8188384644655595,0.7125751045140845,0.7698361632120998,0.71538008680728,0.7503382902768635,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
3,gbrt,100000,1.4007101386320608,1.592672099847184,1.3060171889548524,1.6244007745709754,1.4003848307194275,0.7690701510709145,0.7306645775215662,0.7833918257389014,0.7305866346753751,0.7678191353814918,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
4,gbrt,20000,1.1709861210938386,1.8823091705607058,1.7224151853642249,1.8650126186075897,1.6786660222329086,0.8042326966378057,0.6835439583278821,0.7108918933912848,0.6869568547998002,0.7199009906926273,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
4,gbrt,100000,1.526674208100826,1.7837576754812383,1.4608262725431944,1.726360170900972,1.5454196904203663,0.7454503942977202,0.7001125521176192,0.754799701414661,0.7102297259250321,0.7422571310153798,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,50,10
