iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,1.2669265195234722,1.4517271240159528,1.2337392641338327,1.3902719816484002,1.221504312422981,0.7955500267406801,0.760867628126889,0.7984760855106164,0.7729074042695738,0.8014353874726938,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
0,mice_impute,100000,1.362033282436722,1.4500367750690653,1.4206946274943155,1.4007409296958027,1.2629116007095096,0.7797557940772646,0.7611460669231859,0.7679380474060736,0.7711973643507424,0.7953560157073511,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,mice_impute,20000,1.4253583816651365,1.6289006434578537,1.740342182775648,1.6531247822396629,1.527959642190201,0.7678822869464054,0.7335654748001175,0.7134753715214404,0.7278345783100633,0.7505540732240767,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,mice_impute,100000,1.458791103215745,1.5132603940047844,1.865779334003178,1.5651502004055793,2.394088563205223,0.7617846099931653,0.7524804129706981,0.6928237815590829,0.7423184451180064,0.607783806753791,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,mice_impute,20000,1.3966581691792008,1.6684846665236068,1.9479691729742834,1.6124557900712637,1.597026465520556,0.7731109546857374,0.7274521592328382,0.6822120022030923,0.7369470194025793,0.7408137621260009,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,mice_impute,100000,1.4157601048257304,1.5176579680145845,1.534248509203661,1.4697925352603518,1.2170539646987035,0.7689841870113227,0.7520897791243796,0.7497056069330525,0.7602208323224865,0.8026063845967075,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,mice_impute,20000,1.2766467882137023,1.6225758314694951,3.1906647972347586,1.6221106751538228,2.88367668830108,0.790275529010046,0.7256075829330695,0.4708154821750431,0.7309664568230627,0.5266016464538382,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,mice_impute,100000,1.416565125717957,1.5181616188405946,1.9610261881874078,1.4931761362521385,1.4651352232211687,0.7664561985681544,0.7432649815111297,0.6747559634790077,0.7523507657792414,0.7570836562577151,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,mice_impute,20000,1.4257001453318987,1.671705326146153,1.4724087554082161,1.655875092000567,1.396264221834555,0.7616492050358403,0.718950925475849,0.7528555768392462,0.7220606757902082,0.7670220162394363,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,mice_impute,100000,1.4905632260221728,1.5941198556572702,1.346174211442888,1.574655393058831,1.2350997828806531,0.7514713489983816,0.7319946864404026,0.7740440976468546,0.7356934361025307,0.7940118380170563,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,mice_impute,20000,1.3023208684202612,1.4657916133676125,1.4765097710390982,1.4505890585836934,1.5267005271109795,0.7776138568191262,0.7570866530574145,0.7527445917249306,0.7570852581171559,0.7414243761344872,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,mice_impute,100000,1.3303857427171997,1.381520551391031,1.0854695913226255,1.3766525568321555,1.1024844300344707,0.7755159146177992,0.7710521891734978,0.8182279371007687,0.7694666187322918,0.8130417164761474,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,mice_impute,20000,1.4827629663181745,1.7690139773815867,1.4581936755414837,1.6600313259405142,1.466422821985903,0.7592373853251676,0.7070503845638312,0.7624257706708266,0.7295416448873606,0.7596664741912119,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,mice_impute,100000,1.5821601134965015,1.687529345308063,1.318885155785199,1.5811006425708243,1.2898280930816484,0.740385008755006,0.720544281127175,0.7851224225458235,0.7424013195564444,0.7881466460386177,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,mice_impute,20000,1.2220103441188512,1.4230746883329828,1.7038653836707076,1.3760912802916487,1.883576489718702,0.7878796028443944,0.7471335561625554,0.7084386969747087,0.7645266048546508,0.6777088736650904,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,mice_impute,100000,1.22974695638233,1.3184966631172335,2.6072895536620972,1.2761237487115744,1.802291518450396,0.787031780317293,0.765716047690689,0.553846948875589,0.7816328058767742,0.6880042639917439,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
8,mice_impute,20000,1.5741679182939208,1.7360743454261056,1.6334775157167878,1.798124839887372,1.69863405674083,0.7476317450908911,0.7230202004283828,0.737591538698122,0.71114192394838,0.726103952628872,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
8,mice_impute,100000,1.5799678295297255,1.593060528177855,1.2570322771066111,1.6282688516166366,1.6202022724429308,0.7455112839784301,0.7458371601638658,0.7980652304861402,0.7384282796503592,0.7378821520767375,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
9,mice_impute,20000,1.2361145137183862,1.4434349840714948,1.5766516598835842,1.4562814942214224,1.5635166475423594,0.7988734166356151,0.7625487892552639,0.7398086924190338,0.7596731124391719,0.746202791190999,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
9,mice_impute,100000,1.2874706192484826,1.378318982817769,1.3975988693125596,1.398567198927423,1.5686652362474784,0.7899841832139761,0.7732606491638686,0.7693573751687388,0.7691975738917216,0.7450061086504012,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
