iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,2.4785853320575155,2.5705146680698863,2.2503184237549925,2.6109779723490747,2.362026954433613,0.6000188668789539,0.5765779537068016,0.6324239725635482,0.573512396881728,0.6160349478784701,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
0,neumice,100000,5.988514575558458,5.917013190603286,5.869753164436111,6.103257105614639,5.899575640790304,0.03164213800195803,0.02533377294815975,0.04121100043445314,0.003069531128106151,0.04402440828882159,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,neumice,20000,9843.37349775425,329293.5834567593,6.800438444451906,9066987.656515792,167114.78622047478,-1601.9802570507902,-53860.59058383332,-0.1196034423990524,-1492760.1911121372,-27281.20142449123,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,neumice,100000,1.6136953266472909,1.6705930914309661,1.525768920449217,1.6714584136221837,1.4620686274939672,0.7364893021748572,0.7267459627416311,0.748802058926936,0.7248161851615609,0.7604737768879115,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,neumice,20000,1.5166497586148653,1.71578319987611,1.552346771163529,1.6871185704711047,1.5337599042836725,0.7536181555358936,0.7197259191328691,0.7467530907887396,0.7247666749585304,0.7510814830086777,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,neumice,100000,1.16377188688708,1.327426513250932,2.304192514652952,1.286721187559736,1.6253150489092527,0.8101022145869273,0.7831641865085699,0.6240984015921845,0.7900867449082234,0.7363906425028565,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,neumice,20000,3.537303956207223,3.4379835611432137,2.675913694042127,3.3463441326100716,2.6184021340301626,0.41890019401196454,0.4186055277773345,0.5561890114091186,0.44499544175672856,0.5701504041002892,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,neumice,100000,13.842066594079474,13.81021184429765,14.179975494305912,13.973230480289363,14.064476710016462,-1.2820898194960413,-1.3354331641506558,-1.3518056491635502,-1.317516161703169,-1.3318607080747147,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,neumice,20000,1.3076876634932,1.6232947523948213,1.3907238590296453,1.5607232809027878,1.3860523172129082,0.7813787175522321,0.7270897683312229,0.7665664207351932,0.7380319469335543,0.7687259551586622,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,neumice,100000,6.124674925963242,5.9877915625656675,6.0962251438573976,6.048153865300558,6.116078788344047,-0.021195995311934723,-0.006674591976189026,-0.023253930746297113,-0.015185146608813316,-0.020030806916267352,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
