iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumiss,20000,1.464275689372618,1.6401066958739312,132.29206647869225,1.5980234026907962,2.7238705242681376,0.7637028502259893,0.7298372415717196,-20.60911617852491,0.738972454782018,0.5572145839149825,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
0,neumiss,100000,6.0316752010113825,5.855909767525905,340.3798553944487,6.128971315910129,16.52641328300783,0.024662956360374633,0.03539889210749558,-54.599009342203004,-0.001130731007823016,-1.6779634128007355,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,neumiss,20000,1.6199519109509457,1.8405931915900546,3.039583614824619,1.78252932037622,2.259641928086143,0.7361929900131788,0.6989395424103892,0.4995722251711845,0.7065298098685594,0.6311038201734012,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,neumiss,100000,1.4951078505121171,1.5365704929389399,12.663714902866076,1.5311263214425344,2.205686787406186,0.7558542145431832,0.7486676481057399,-1.0849153940032124,0.7479200327688544,0.6386490923745509,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,neumiss,20000,1.6264080505966445,1.8278698406189666,14.503417919023734,1.7637748498465244,11.862784016161333,0.7357877696672417,0.7014165078890962,-1.3660601028203199,0.7122611148710061,-0.925246967562598,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,neumiss,100000,1.51708126642309,1.5976363736142447,34.41093940293021,1.5470353055395893,3.446777596524563,0.7524511667350857,0.7390252648429237,-4.613735415777176,0.7476195932208195,0.4409681813595764,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,neumiss,20000,1.495095820011722,1.5851142770788635,5.654533563189715,1.6579069892274478,1.7641631081471787,0.7543892462456403,0.731942674493641,0.06217299299039403,0.7250294949650264,0.710386426407676,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,neumiss,100000,6.066603574965504,5.912330827845916,7.360845782722051,6.0333950558954745,6.127986652367347,-0.0001782727492907199,0.0001707686705015865,-0.2208257130894833,-0.0006627008479862528,-0.016007320349495924,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,neumiss,20000,1.8195401841261807,2.275470558187933,1155980.9346428395,2.554259704636434,958.7238878848315,0.6958064072759513,0.6174452013262532,-194030.88158707105,0.5712664441946265,-158.9708385344297,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,neumiss,100000,5.982679875927321,5.912176010538808,54.95951247952083,5.9343265821431865,16.442973101380517,0.002479510442028987,0.0060379839691028225,-8.224977071792571,0.00392081030196656,-1.7423353591631585,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,neumiss,20000,1.4066217239775543,1.5873900161926222,30.78902526001853,1.5779358512204127,10.400031279116533,0.7598032960270014,0.7369351698972445,-4.155911027733877,0.7357598433969041,-0.761442095855726,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,neumiss,100000,5.884648387410884,5.958383065370073,346.4108093868056,5.977890349162088,18.4715672188132,0.0070474535109459335,0.012567161951639427,-57.00973876763042,-0.0010538012663989793,-2.1323911768230612,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,neumiss,20000,1.672008585737294,1.8149923797407301,142.46786365085882,1.7991485527873854,4.064996902839362,0.7285087583078347,0.6994363377209583,-22.211383699396414,0.706876159150506,0.3337835285881966,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,neumiss,100000,6.057280546145493,5.991088450412626,68.27319488012397,6.096760324992107,8.914521984388221,0.006067197282108805,0.00787270194990175,-10.123317793476799,0.006693582677334442,-0.4642039442969179,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,neumiss,20000,1.319447485780791,1.4655713529340462,9929.988680999191,1.478953616213037,53.16777490832833,0.7709661574824069,0.7395823147971343,-1698.1955271849401,0.7469250519497758,-8.097322117502722,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,neumiss,100000,1.3536606414680992,1.3473866714507319,655.1549160241227,1.3681813248261017,2.736965814216172,0.7655723436664612,0.7605825759694799,-111.1085168054186,0.765880137207916,0.5262022514703897,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
