iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.6876247776457998,0.7212748512296382,0.6719531007346984,0.7238614191182355,0.6676146412848686,0.8890347109830745,0.8811896787670179,0.890240488286311,0.8817615755862634,0.8914742737982393,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
0,oracle_impute,100000,0.7000100951008364,0.715487359794984,0.6514958645239384,0.7162015920865694,0.6542533092816253,0.8868066077962784,0.8821430098242593,0.8935820552127074,0.883012762423392,0.8939838672217255,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,oracle_impute,20000,0.7127663379332936,0.7568927924229407,0.7084054654710201,0.7650098220978411,0.7077457473888231,0.8839269516839798,0.8761972545186503,0.8833702849846792,0.8740511163675622,0.8844574889255177,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
1,oracle_impute,100000,0.725132717359239,0.7458635089396521,0.6762869590230516,0.7567751533740571,0.6822682809652142,0.8815884106424385,0.8780012822351148,0.8886581779165239,0.8754068471083774,0.8882260781637289,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,oracle_impute,20000,0.7219827729076256,0.7947853845265656,0.6893825018870918,0.7560386005312053,0.7139028783356222,0.8827129030615813,0.8701713927780055,0.8875354456167187,0.8766612960547299,0.884138550463585,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
2,oracle_impute,100000,0.7395880498490954,0.7766380028841239,0.6620918641764978,0.7435425689689299,0.6938965317490804,0.8793181598844174,0.873135777037245,0.8919875885135226,0.8786998749530393,0.8874571308334177,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,oracle_impute,20000,0.7879696659732386,0.7973708927505548,0.7547117160911916,0.8356066513251098,0.7486079033141066,0.8705542340465237,0.8651572873715923,0.8748280433837194,0.8614112948323382,0.8771048951783387,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
3,oracle_impute,100000,0.7877213539718281,0.792996082383665,0.7288037761254725,0.8292876854574128,0.7314912323533247,0.8701313224957582,0.8658971078271287,0.8791249788469743,0.8624593205944765,0.878720289549694,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,oracle_impute,20000,0.703211383755951,0.777043066742022,0.6784668186975731,0.7568303742881075,0.6987544326521918,0.8824360137053515,0.8693626015556761,0.886119061758611,0.8729657062979673,0.8834071687025195,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
4,oracle_impute,100000,0.7207249053917757,0.7667806445048052,0.646568902316055,0.737047667701719,0.668804347608814,0.8798301304143253,0.8710879321070808,0.8914731403153869,0.8762862418421178,0.8884577746675439,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,oracle_impute,20000,0.7001865570719493,0.7216540307269658,0.6439513743891744,0.6864126230834572,0.6717702764511331,0.8804351587153734,0.8804063317460593,0.8921643032055009,0.8850537688983791,0.8862229918421762,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
5,oracle_impute,100000,0.6915815737688115,0.7103346735586075,0.6240943863555342,0.6741034412424618,0.6432636318567547,0.8833052309042401,0.8822821938467349,0.8954895420760272,0.8871150568365452,0.8909159520180271,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,oracle_impute,20000,0.7728126623985215,0.8371188265677796,0.7468427959926972,0.8067076549276273,0.7605697113134667,0.8745150765972391,0.8613726960595351,0.8783216491306456,0.8685682480811696,0.8753494574669851,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
6,oracle_impute,100000,0.7681472196505036,0.816020777856181,0.6904434241745324,0.7768072792353372,0.7095646726070232,0.8739555295299934,0.8648665436693006,0.8875104403859461,0.873439726288007,0.883454503316674,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,oracle_impute,20000,0.6896914811621095,0.7514854791609565,0.6990608806553374,0.7560395534490155,0.7125086205661275,0.8802811845226771,0.8664683854833306,0.8803784012450667,0.8706283492494173,0.8780855425309092,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
7,oracle_impute,100000,0.7165073998921256,0.7300629388157498,0.6561633186048641,0.7301112032540779,0.673294363191202,0.8759148745580876,0.8702749612305265,0.887718927795996,0.8750651455131256,0.8834456200655806,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
8,oracle_impute,20000,0.7381009460674716,0.8004518794213057,0.7195094958427426,0.7966455738488919,0.7459892536596859,0.8816687562101427,0.8722929108923496,0.8844150728249637,0.8720236200221541,0.879713051114281,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
8,oracle_impute,100000,0.7703456475960883,0.771387681313313,0.6783256680100295,0.7726703077529989,0.7145098467032327,0.8759188186712096,0.8769299218520881,0.8910310101660794,0.875875104125849,0.8844059247889813,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
9,oracle_impute,20000,0.7082907572478633,0.7352759924876762,0.7044124497283225,0.7554975996404099,0.7230836493018561,0.8847549329347246,0.8790439634799039,0.8837523842237562,0.8753219158509407,0.882625738448835,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
9,oracle_impute,100000,0.7111521395600003,0.7061228072667591,0.64977798021351,0.7309274887733977,0.679317485565983,0.8839948693073852,0.8838397867792991,0.892768588895815,0.879376666457279,0.8895737566539871,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
0,oracle_impute,20000,1.704571973680495,1.7878054751267147,0.9360956259375829,1.801395359755957,0.9895025702082474,0.7179936923379899,0.6999395764749219,0.8432382594605404,0.6983322385336315,0.835018703573082,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.7,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,1,,
