iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.6971345566503294,0.7206018945281765,0.5633739458399079,0.7193718028836409,0.6329285984626382,0.8875000726017503,0.8813005299934821,0.9079762424788383,0.8824949274900677,0.8971127480820016,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
0,prob_bayes,100000,0.7111435317885229,0.7116231478364358,0.5633739458399079,0.7217095555313033,0.6353447369654893,0.8850063030944111,0.8827795331458818,0.9079762424788383,0.8821130696061852,0.897047839057827,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
1,prob_bayes,20000,0.7296352735696129,0.7367149523828702,0.5727901088510609,0.7635909471403696,0.6533030631761639,0.8811798679947701,0.8794976849360776,0.9056975836366883,0.8742847156126248,0.8933454892657159,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
1,prob_bayes,100000,0.737487042534917,0.7414804429842162,0.5727901088510609,0.7628275625960869,0.6527424994610901,0.8795709933552698,0.8787182075438784,0.9056975836366883,0.8744103969154753,0.893063196473447,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
2,prob_bayes,20000,0.7520119281967519,0.7768583430029097,0.5621750222404698,0.7428674534889953,0.6566222272587311,0.8778346253802589,0.8730997843638844,0.9082878326783513,0.8788100120125095,0.8934347999473112,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
2,prob_bayes,100000,0.7519603850961015,0.7709565391588703,0.5621750222404698,0.7319630601690466,0.6665239020410924,0.8772993114397458,0.8740638471009281,0.9082878326783513,0.8805889340654932,0.8918966893886482,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
3,prob_bayes,20000,0.7984018806662981,0.8013889717928718,0.5610772443535793,0.8397830457643005,0.6897824255103925,0.8688404548493686,0.8644777934465602,0.9069430949709512,0.8607186231109261,0.8867619709704418,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
3,prob_bayes,100000,0.807705987617828,0.7870498160944347,0.5610772443535793,0.8366544673370534,0.6897120412288651,0.8668365305887895,0.8669026758554335,0.9069430949709512,0.8612375103559714,0.8856471917165473,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
4,prob_bayes,20000,0.7296036474510996,0.7668693784521307,0.5372271892688733,0.7375800680675295,0.6421051195616944,0.8780237135079787,0.8710730140510188,0.9098261924139955,0.8761968782188607,0.8928595649888785,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
4,prob_bayes,100000,0.7359029090781956,0.762598350084953,0.5372271892688733,0.7378257180632252,0.6358852392861823,0.8772994301292054,0.8717910643862588,0.9098261924139955,0.8761556457647187,0.893947976116435,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
5,prob_bayes,20000,0.7115062811685922,0.7260158728899627,0.5385223845288725,0.6676535569007408,0.6160242805642804,0.8785021867076549,0.8796834802377098,0.9098193762996611,0.8881951504583551,0.8956646311214423,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",discontinuous_linear,,,,
