iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.6526157242943423,0.6701513131102218,0.5633739458399077,0.685482757045318,0.6179098846111822,0.8946842888482784,0.8896108846030171,0.9079762424788383,0.8880305000167666,0.8995541517399693,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
0,bayes,100000,0.6684423357648094,0.6701513131102218,0.5633739458399077,0.685482757045318,0.6179898003109718,0.8917719486993912,0.8896108846030171,0.9079762424788383,0.8880305000167666,0.8995366722238864,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
1,bayes,20000,0.6944739162842793,0.7116275318099533,0.5727901088510609,0.7193724399538284,0.6388116180569047,0.8869058481734515,0.8836011611153526,0.9056975836366883,0.8815647157579374,0.8957112794726578,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
1,bayes,100000,0.7050788579355136,0.7116275318099533,0.5727901088510609,0.7193724399538284,0.6374031880085026,0.8849994171021673,0.8836011611153526,0.9056975836366883,0.8815647157579374,0.8960276523042852,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
2,bayes,20000,0.7177516140473849,0.7474035032843201,0.5621750222404698,0.6985360043162575,0.6357944529030432,0.8834002606524063,0.8779112477992487,0.9082878326783513,0.8860421605842085,0.8968150022138903,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
2,bayes,100000,0.7171830116069593,0.7474035032843201,0.5621750222404698,0.6985360043162575,0.6334766652046944,0.8832290225008341,0.8779112477992487,0.9082878326783513,0.8860421605842085,0.896655426855651,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
3,bayes,20000,0.7708658538739349,0.7589537181297455,0.5610772443535793,0.79148587552992,0.6691820471798329,0.873364007256745,0.8716539830554786,0.9069430949709512,0.8687289019609453,0.8901438290073289,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
3,bayes,100000,0.7776788657135266,0.7589537181297455,0.5610772443535793,0.79148587552992,0.6653839857178842,0.8723566678357,0.8716539830554786,0.9069430949709512,0.8687289019609453,0.8904127767577116,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
4,bayes,20000,0.6897319586398291,0.6903330044605592,0.5372271892688733,0.6995694845163416,0.620601508170281,0.8846895252186997,0.8839403996729539,0.9098261924139955,0.882576970507267,0.8964476165533308,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
4,bayes,100000,0.7022712643961533,0.6903330044605592,0.5372271892688733,0.6995694845163416,0.6148024304888156,0.8828089909209903,0.8839403996729539,0.9098261924139955,0.882576970507267,0.8975387677261575,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
