iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,0.798621743352381,1.2783630146982956,1.3158364681434833,1.2548489313320539,1.256960525773779,0.8711226013848701,0.7894246275608579,0.7850659992779523,0.7950279478927055,0.7956717162403579,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
0,gbrt,100000,1.0523914567048582,1.269034523389433,1.1454149448285624,1.2520360783095246,1.187567371101654,0.8296064290508213,0.7909612415813461,0.8129033337051568,0.7954874105753504,0.8069434641167736,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
1,gbrt,20000,0.7349242604092345,1.1959864041658268,1.243911297863162,1.160931468014714,1.2868295119962936,0.8803185635359227,0.80437599369904,0.7952062381708809,0.8088677842471939,0.7899195951521297,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
1,gbrt,100000,0.9609900628530237,1.1739414669480788,1.1452869472926333,1.1614797624849973,1.1318399078148271,0.84325949339807,0.8079818197537241,0.8114434504190442,0.8087775147180463,0.8153758019333294,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
2,gbrt,20000,0.9104089159392431,1.4157852280931662,1.4486734319343553,1.4157443767656932,1.576180003391325,0.8521028163215904,0.7687307443401209,0.7636661628001691,0.7690381464314168,0.7441969972876656,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
2,gbrt,100000,1.1903684282879616,1.4362483812518363,1.2918345471017838,1.4460405639939684,1.3662970752289265,0.8061854746895372,0.7653880775955091,0.7892525611267613,0.7640956838844076,0.7771040422108046,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
3,gbrt,20000,0.8271777041770921,1.3339825734483703,1.3652214773671612,1.3483266332008517,1.4967410817918068,0.8641132316120425,0.7744113430297054,0.7735725577155761,0.7763746351922276,0.7542877234886592,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
3,gbrt,100000,1.0806928718851232,1.2777479827389326,1.2409908523873594,1.3125219414090024,1.2877131574836365,0.822621849075119,0.783921126774948,0.7941767037343007,0.7823129865283385,0.7879165830705407,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
4,gbrt,20000,0.9884048792562735,1.6311729260701053,1.388122722328006,1.59938470403927,1.560460739791893,0.8347569161099138,0.725765280465001,0.7670030226144796,0.731542610949546,0.73962449856621,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
4,gbrt,100000,1.323097424154234,1.6794193975351248,1.3114580342548952,1.6274991498425109,1.4029085479163033,0.7792090747443625,0.7176540266798861,0.779871222454391,0.7268235895059387,0.7661952336904002,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,50,10
