iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,0.64067333778588,0.7005955404746915,0.679784621633156,0.7060020796705134,0.6671533386880428,0.8966114887013732,0.8845960301037978,0.8889612562850739,0.8846787916466815,0.8915492619668974,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,mice_impute,100000,0.6624235192817688,0.6791630474676948,0.6335422416938532,0.6718249330773315,0.8170025825466417,0.8927464602529572,0.8881264476341524,0.8965146718985555,0.8902614237049804,0.8671842185696065,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,mice_impute,20000,0.6776719843827826,0.7071857911254366,0.6991529478792067,0.7227207180748062,0.7321000882826473,0.8896420203937331,0.884327683678342,0.8848935912584245,0.8810134654612135,0.880481538928194,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,mice_impute,100000,0.708602443427966,0.7132592481101164,0.6998775927319806,0.7267691126619811,0.70699267142722,0.8844247092082037,0.8833342660414013,0.884774287940218,0.8803469501250313,0.8846763096971321,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,mice_impute,20000,0.6848757940928896,0.7522357773799356,0.674119937446744,0.7102118433234358,0.7143676215374615,0.8887409829336376,0.8771218933046107,0.8900253514437902,0.8841373863443652,0.8840631258888125,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,mice_impute,100000,0.6920414407358892,0.7344572932792321,0.6494571451361073,0.6878180972388487,0.8373200561672689,0.8873225464116993,0.8800260179579441,0.8940487926240792,0.8877906596251366,0.8634006767055143,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,mice_impute,20000,0.744466532512494,0.7454628382618023,0.738901411368605,0.7887905583376236,0.7848164795969333,0.8777008244235112,0.8739354142610525,0.8774502456559664,0.8691759310973268,0.8711607196519764,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,mice_impute,100000,0.7303254563132774,0.7324789258593399,0.6875575472573049,0.7639687738042327,0.8277365104052923,0.8801289594996149,0.8761311126302747,0.8859658308708583,0.8732927233380039,0.8636736866251582,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,mice_impute,20000,0.6712349613333998,0.747598350528689,0.6671235895878648,0.7091026643107633,0.7190336722655313,0.8877818823506483,0.8743128820339117,0.8880230274914974,0.8809768223062148,0.88002341347666,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,mice_impute,100000,0.6905744167337277,0.7199124800140905,0.6426812533193204,0.6972341129046867,0.7646856690372003,0.8847608939107585,0.8789674632952285,0.8921256838195059,0.882968963605453,0.8725596515787934,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,mice_impute,20000,0.6468684685843252,0.6799648996287264,0.6357533393734339,0.6422271880921134,0.8103848468243752,0.8895398304963933,0.8873151216953588,0.893537141052313,0.8924530343708369,0.862745991360008,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
