iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,1.113221596003458,1.217193506496809,1.4301433623673308,1.1851714002699616,1.7300308423612558,0.8203541231260905,0.7995006324384608,0.7663946531947212,0.8064093549855944,0.718770617197136,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,neumice,100000,1.1844046675727977,1.268211844177347,1.406715167529908,1.2578125368796824,1.4807704106330375,0.8082320609210317,0.791096755499921,0.770221508406606,0.7945438606886074,0.759278999346365,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumice,20000,1.4819590003123186,1.5361056206859764,1.676050479616017,1.5496866224002783,1.6743812442878254,0.7586649516244253,0.7487436859036831,0.7240601614233249,0.744864321432888,0.7266501223429508,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumice,100000,1.1944456736987707,1.2411689288198222,1.3602017330502258,1.249739874444919,1.364481473488422,0.8051821478276175,0.7969856199817307,0.7760605356375769,0.7942466391011259,0.7774276237476128,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumice,20000,1.3962614989373814,1.4687444027372702,1.5594473020063213,1.4237273969418613,1.5927038994395244,0.7731753943134553,0.7600798355318694,0.7455947236486782,0.7677358116545869,0.7415152844017381,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumice,100000,1.3115609575221696,1.3945320333574382,1.3368606233992097,1.3377761003277686,1.4493832736811718,0.7864530355837007,0.7722024647885298,0.7819070924028584,0.7817577432323519,0.7635494660363856,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,neumice,20000,1.4850838494577536,1.5535865632798516,1.6587653633375539,1.5638442635799545,1.7839434220286656,0.7560339887440224,0.7372742993250491,0.7248871301857606,0.7406301742216533,0.7071391941287901,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,neumice,100000,1.3423122279678061,1.4555037935583035,1.542622415982514,1.4789764301572088,1.5411138351075269,0.7796812885926981,0.7538609929849323,0.7441499025233976,0.7547058438274318,0.7461820700305914,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,neumice,20000,1.201784925999837,1.3404788750605912,1.2719004346535094,1.3228801655795228,1.304854056949005,0.7990837039430048,0.77463710777098,0.7865109820314781,0.7779540129518512,0.7822745419270705,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,neumice,100000,1.2885832977911222,1.348324105687503,1.279048277659187,1.333067299847275,1.2934836782173496,0.7849685946066074,0.7733181583289721,0.7853112136044069,0.7762440982199419,0.7844316726417642,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,neumice,20000,1.1558806341356553,1.203900103807513,2.0389543216758352,1.1993071246092155,1.5527412225010675,0.8026201971909583,0.8004877358190574,0.6585579769611791,0.7991647745522444,0.7370138916047373,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,neumice,100000,1.2483628325225065,1.2643750076454265,1.2900356182348451,1.2590995089627206,1.3756057717152457,0.7891973659650734,0.790465737355341,0.7839714374178754,0.7891519790428307,0.7674126103136003,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
6,neumice,20000,1.3172431595798277,1.422551100190815,1.541048904495095,1.398522786034544,1.572350585561037,0.7861135498612638,0.7644248134454927,0.7489266947286429,0.7721475695139969,0.742305865423152,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
6,neumice,100000,1.3492496191946652,1.4531423970016704,1.4636095444518489,1.4148178374824736,1.532775445041187,0.7785460825293358,0.7593588791165292,0.7615433975649015,0.7694927203299997,0.7487882623638572,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
7,neumice,20000,1.1227190213181506,1.2623806017997528,1.5093098526237794,1.2539579164317218,1.5432024443158112,0.8051149027974213,0.7756873225533862,0.7417305665592736,0.7854257692200584,0.7359488947456518,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
7,neumice,100000,1.2930104903045134,1.4148252002343809,1.4231419958645515,1.4146362874706564,1.4758571407305259,0.7768369676281672,0.7485994094561842,0.7564754007676505,0.757930876913973,0.7458021915956786,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
8,neumice,20000,1.3389487901609847,1.4316714636160313,1.3957579823220643,1.424023455308847,1.4737566759625724,0.7853417252005654,0.7715857756382872,0.7757797698670934,0.7712390895069007,0.7623642792683338,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
