iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumiss,20000,1.1908619594310672,1.2543736672028878,1.8551872004924335,1.248046362990593,2.010343339320684,0.8078249274845082,0.7933762169962028,0.6969662896995388,0.796139106660693,0.6732037356239526,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,neumiss,100000,1.1759082136044001,1.232813316827156,1.5758244043214702,1.221914160006959,1.849702143099263,0.8096077288085435,0.7969276955340574,0.7425985281179193,0.8004076453970282,0.699303722170086,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumiss,20000,1.312192028730888,1.3938333043714275,2.4895345143826666,1.3906606517382152,2.2493703530045788,0.786311276718807,0.7720147535397586,0.590130631275976,0.7710458721723634,0.6327806986032507,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumiss,100000,1.3114104527186967,1.3603161904948098,1.5141374107671803,1.38077131649784,1.5517780313381757,0.786104823902188,0.7774970500552968,0.7507170352018746,0.7726740221613095,0.7468760620338903,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumiss,20000,1.3281964043235959,1.4003831950005206,3.3358164985102223,1.368420633497552,2.087769603815872,0.7842326627825342,0.7712466744814337,0.455801220683152,0.7767584521888611,0.6611695793129232,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumiss,100000,1.4292261250891543,1.477421323026167,1.5898184544907208,1.4410927398288331,1.7499015648710792,0.7672949177643541,0.75866245607571,0.7406400314119086,0.7649028625383124,0.714523296279912,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,neumiss,20000,1.2816762504786816,1.3440027227983389,1.8570781636639326,1.372634768018721,1.5672220960129557,0.7894493010176014,0.7727168441063365,0.6919961590909018,0.7723430338112343,0.7427172182985601,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,neumiss,100000,1.4263805429844205,1.502683013713751,2.2492488796339405,1.516552914938577,1.7225396521249219,0.7658828425614906,0.7458825552424806,0.6269530773433247,0.7484736335376456,0.7163016521994512,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,neumiss,20000,1.3527070006631812,1.4878858231988952,2.9286724674296236,1.4429173789122867,1.7602153852218172,0.7738523138842809,0.7498548774910738,0.5084211059387476,0.7578057166734,0.7062938195934845,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,neumiss,100000,1.532669414029722,1.6823290890140663,2.514354067233617,1.6100915049551436,1.8834189042985694,0.74423690058126,0.7171648459106936,0.5779646220617142,0.7297454699541999,0.6861147382438783,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,neumiss,20000,1.2085337743673976,1.246789736608093,31.825454413761893,1.237736330316251,5.789213278960541,0.7936290729093498,0.7933799967941416,-4.329470809445755,0.7927294436569449,0.019487182512175516,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,neumiss,100000,1.2685137033216547,1.294178335980116,1.7192686161909554,1.2848310368741889,2.456915645782342,0.7857946239641965,0.7855266817830586,0.7120923464450601,0.7848429933767123,0.5845847636858554,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
6,neumiss,20000,1.3584994517803877,1.4589175833984072,1.8154133137291957,1.4027378453027368,1.6957789103456045,0.7794145878507275,0.7584025053085052,0.7042262450061869,0.7714608366924148,0.7220770719023482,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
6,neumiss,100000,6.0993325792532085,6.047675217045298,8.650371269187602,6.151699648023481,6.303470690363765,-0.0010905872541857597,-0.0014980954184458106,-0.40935002130312226,-0.0022573321071495123,-0.03309707262581307,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
7,neumiss,20000,1.234785929499322,1.317505011317458,4.890414896168585,1.3165464532107005,1.8612666055080793,0.7856619765715539,0.7658922545097618,0.1631640896480756,0.7747157709346233,0.6815262273801587,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
7,neumiss,100000,1.2123927898139333,1.2367609255343672,1.330762626300733,1.2476640047689456,1.2659921801360636,0.7907509231909602,0.7802396882743193,0.7722831339493977,0.786502768085762,0.7819487884252102,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
8,neumiss,20000,1.4760941186180532,1.557153349209305,1.4703286014997277,1.548946357810934,1.5501881069788805,0.7633547905099143,0.7515659259048572,0.763800442788231,0.7511709671657416,0.7500401022231307,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
8,neumiss,100000,1.527520174085739,1.6383138028442106,2.685978926244544,1.6241124898707942,2.262472348772997,0.7528307214927592,0.7386172833307857,0.5685134381443768,0.739095974479242,0.6357287459666634,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
9,neumiss,20000,1.2973066985435446,1.3698473177214754,1.8942712175322547,1.379500109427955,2.8332300416573553,0.7889169159021483,0.7746542742015996,0.68739264509505,0.77234417315322,0.540097076921616,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
9,neumiss,100000,1.3799548573004292,1.4849624508289414,2.2726137422559467,1.4717490394604222,1.9125185596395737,0.7754046078217344,0.7557173438701014,0.6249556219236729,0.7571205379401857,0.688532793564814,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,neumiss,20000,1.6616916928144718,1.8107011884363804,3.061260755562047,1.7601260345253789,1.8900837015268945,0.725087854312522,0.6960968220320091,0.48735091694676325,0.7052433393600611,0.6848634164056101,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,neumiss,100000,1.75263214041893,1.7719591158834032,7.64014578129632,1.7663772932430526,2.593236686337286,0.7081411781324446,0.7025991864448162,-0.27944466085036423,0.7041964824257992,0.5668552984863668,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumiss,20000,1.6648172176296385,1.8568975209645897,106.20791887644094,1.8837859251787532,6.0071048857464175,0.7255304226905755,0.6997224586770332,-16.08428831604891,0.6969798277573855,0.0007244215123733966,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,neumiss,100000,6.061973816427437,6.1845501658156605,6.180195469644224,6.216971323391061,6.099348966669878,-0.0002614930008106864,-9.908840579853084e-05,0.005872232787324294,-4.342110295407764e-05,-0.005025208589864993,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumiss,20000,1.7403633835766337,2.0354296518913,1.7013238970621671,1.9754131139472484,1.906234702141765,0.7149679624164635,0.675483161695684,0.7236802367330437,0.6791641586044217,0.6894929255070457,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,neumiss,100000,1.97165807566099,2.1262126517648836,2.8927467297786724,2.08218556281156,1.8904063974340728,0.6792312774024258,0.6610092583291973,0.5301758278103483,0.6618227588600426,0.6925888494922645,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
