iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.6442205294824195,0.6821991076748102,0.6671793584016174,0.6863729356004442,0.6531192226315132,0.8960390614640178,0.8876263396824123,0.8910202504854183,0.887885094684993,0.8938306119290603,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
0,oracle_impute,100000,0.6443094169601374,0.6563368055785922,0.6250421169636031,0.6613954928804937,0.6302566321373423,0.895679329537915,0.8918864472054151,0.897903116328498,0.8919650102532088,0.8975425183625654,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,oracle_impute,20000,0.6752701077610652,0.7032306270810379,0.6900964232250103,0.7158621564869994,0.6843100407253286,0.8900331628008928,0.8849746183201137,0.8863846298527496,0.882142638120644,0.8882834679677025,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
1,oracle_impute,100000,0.6688132854867243,0.6849644678900009,0.6506901136841643,0.6975800709078338,0.6509977850258302,0.8909144462138696,0.8879623606792537,0.892872364456122,0.8851525449253099,0.8938101199880679,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,oracle_impute,20000,0.6693655686687572,0.7431750674300392,0.6699571191486555,0.698468000555891,0.6849789474304971,0.8912606404394957,0.8786019650021272,0.8907044657288083,0.886053254588749,0.888832702375077,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
2,oracle_impute,100000,0.6889104352830367,0.7274919034101469,0.6445152757745355,0.679595244199207,0.6565422301074028,0.8878323333996336,0.8811638180270788,0.8948549998226202,0.8891321202806233,0.8928925400910164,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,oracle_impute,20000,0.7309168862060719,0.7417598847954948,0.7296617596522157,0.7770676119602469,0.7190616920928151,0.8799267278056765,0.874561617568288,0.8789826788475212,0.8711202286404521,0.881955344537808,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
3,oracle_impute,100000,0.716615473392987,0.7141094133638027,0.6655863569628028,0.7502299957253302,0.6725489762823289,0.8823792301203239,0.8792375652448355,0.8896098406559392,0.8755713546312344,0.8892327191708618,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,oracle_impute,20000,0.6753136298335457,0.7124310887365743,0.6594502628586554,0.6916836948112907,0.6740930796587173,0.8871000041292088,0.8802252436359457,0.889310998580537,0.8839006035953367,0.8875221150052172,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
4,oracle_impute,100000,0.6638875143709445,0.6903410695175426,0.6198580792923082,0.6687391896327418,0.6382257999889879,0.8892142514317681,0.8839390437660452,0.8959565630905542,0.8877518483507303,0.8936350952877044,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
5,oracle_impute,20000,0.6404086112022316,0.6711267298364791,0.6267967397811077,0.6350787923395588,0.6505001684059917,0.8906429248286256,0.8887797974279134,0.8950370076515014,0.8936501002792229,0.8898254871317187,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,1,,
