iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.6367567506612287,0.6563668088447904,0.5633739458399079,0.6592578322989839,0.6076540480440366,0.8972435270402691,0.8918815049872177,0.9079762424788383,0.8923141842973193,0.9012213142652159,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
0,prob_bayes,100000,0.6462008800399692,0.6541859970048037,0.5633739458399079,0.6580169427147822,0.605820673857246,0.8953730811866596,0.8922407341421172,0.9079762424788383,0.892516876173737,0.9015149426404118,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
1,prob_bayes,20000,0.6665831882323124,0.6847391130602172,0.5727901088510609,0.6965912094810148,0.6219717301361875,0.8914478160701563,0.8879992213111872,0.9056975836366883,0.8853153480543383,0.8984604629806493,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
1,prob_bayes,100000,0.6740677114910023,0.682889578553437,0.5727901088510609,0.695656030591764,0.6211154953817011,0.8900574327798619,0.8883017442736122,0.9056975836366883,0.8854693130541272,0.8986844787413254,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
2,prob_bayes,20000,0.6791004318045339,0.727121926556515,0.5621750222404698,0.6767567225048692,0.6214999153765597,0.8896791985005283,0.8812242539391458,0.9082878326783513,0.8895951913283902,0.8991349057869537,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
2,prob_bayes,100000,0.6837648532386352,0.7163005234825034,0.5621750222404698,0.6786747292165914,0.6173163885618467,0.888670131612088,0.8829919357770845,0.9082878326783513,0.8892822913497171,0.899291793723261,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
3,prob_bayes,20000,0.7216467920508057,0.7113346851597776,0.5610772443535793,0.7387962759835687,0.6440720509533674,0.8814495966294492,0.8797067971684472,0.9069430949709512,0.8774676827800683,0.8942660077936624,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
3,prob_bayes,100000,0.731719430256636,0.7213652975522006,0.5610772443535793,0.7429014806123442,0.6409355160613942,0.8799001613582159,0.8780105288488792,0.9069430949709512,0.8767868181734402,0.8944393838893627,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
4,prob_bayes,20000,0.657339161955067,0.6867203952975081,0.5372271892688733,0.6656670240707917,0.6058007619679762,0.8901050039687057,0.8845477557936846,0.9098261924139955,0.8882675126205016,0.8989172408224638,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
4,prob_bayes,100000,0.6701627284602106,0.6866295180233852,0.5372271892688733,0.6587358401545135,0.6028232519104378,0.8881670796213991,0.8845630341883801,0.9098261924139955,0.8894309147291333,0.8995351837094078,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
5,prob_bayes,20000,0.6320741651144246,0.6494513624241356,0.5385223845288725,0.610960338727736,0.5855977563105736,0.8920661265648188,0.8923718742254098,0.9098193762996611,0.8976889615260115,0.9008179387618408,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
5,prob_bayes,100000,0.6315304000914652,0.6454001040079816,0.5385223845288725,0.6078048061020674,0.5887367757322257,0.8933577095183088,0.8930432552950124,0.9098193762996611,0.8982173850576323,0.9004564005941877,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
6,prob_bayes,20000,0.7175682392180999,0.7049581834379539,0.570816714920553,0.7125824302832514,0.6366681167714379,0.8834853517344368,0.8832585658580233,0.9070004599456906,0.8839034728050178,0.8956558156490613,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
6,prob_bayes,100000,0.7062266725280731,0.6957433840941308,0.570816714920553,0.7089285140042524,0.6347088967420917,0.8840861905545965,0.8847845413215355,0.9070004599456906,0.8844987821652056,0.895975418082578,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
7,prob_bayes,20000,0.6555891105821167,0.6618480539373113,0.524845031523424,0.6596739468322572,0.6003452941464553,0.8862007812152827,0.882396078623316,0.9101897938981233,0.8871181976266849,0.8972773539612297,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
7,prob_bayes,100000,0.6584423046044057,0.6675796288112007,0.524845031523424,0.6604758642787839,0.5964632081417077,0.8863582450109808,0.8813776338657564,0.9101897938981233,0.886980975462382,0.8972667231000533,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",discontinuous_linear,,,,
