iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.7345629642327619,0.7107628944769049,0.5633739458399077,0.734193504558262,0.649220534346938,0.8814600720086256,0.8829212363784475,0.9079762424788383,0.880073891354073,0.8944643727113336,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
0,bayes,100000,0.741515451694543,0.7107628944769049,0.5633739458399077,0.734193504558262,0.6513430490674536,0.8800950872905777,0.8829212363784475,0.9079762424788383,0.880073891354073,0.8944554499082904,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
1,bayes,20000,0.7639647375235104,0.7584596119548764,0.5727901088510609,0.8035577510575619,0.6809149379121733,0.8755893605365507,0.8759409744197124,0.9056975836366883,0.8677047029247836,0.8888377329785985,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
1,bayes,100000,0.7720274625151134,0.7584596119548764,0.5727901088510609,0.8035577510575619,0.682239116275984,0.8739306658276035,0.8759409744197124,0.9056975836366883,0.8677047029247836,0.8882308561253978,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
2,bayes,20000,0.7840406026812771,0.7991413146046229,0.5621750222404698,0.7675482693844333,0.6850715087832878,0.8726315230486799,0.8694598493271563,0.9082878326783513,0.8747836304987662,0.8888176803141906,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
2,bayes,100000,0.7829537587922653,0.7991413146046229,0.5621750222404698,0.7675482693844333,0.6878200888459048,0.8722419861222179,0.8694598493271563,0.9082878326783513,0.8747836304987662,0.8884426672748905,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
3,bayes,20000,0.8198326195312778,0.8223222804287043,0.5610772443535793,0.8475245287033327,0.7167425756517055,0.865319864492759,0.8609377794500543,0.9069430949709512,0.8594346672030876,0.8823360619425563,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
3,bayes,100000,0.8268768167455482,0.8223222804287043,0.5610772443535793,0.8475245287033327,0.7108907423038628,0.8636759075932043,0.8609377794500543,0.9069430949709512,0.8594346672030876,0.8821358075461234,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
4,bayes,20000,0.7871330110275612,0.8138456855929244,0.5372271892688733,0.8000703672890686,0.6621378182799327,0.8684058639292094,0.8631753017927711,0.9098261924139955,0.8657078554542763,0.8895169471063364,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
4,bayes,100000,0.7785093022596475,0.8138456855929244,0.5372271892688733,0.8000703672890686,0.6550142623233377,0.8701954648383877,0.8631753017927711,0.9098261924139955,0.8657078554542763,0.8907576652196402,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
5,bayes,20000,0.7480786278073459,0.7472995972298647,0.5385223845288724,0.7183716891168941,0.6425314153545274,0.8722570413573142,0.876156307160951,0.9098193762996613,0.8797019235701722,0.8911751462528901,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
