iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,1.2512640486518853,1.982637811394898,1.3282214671131851,1.9453241539160135,1.326896633496446,0.7980775543451029,0.6734146007463,0.7830429839246446,0.6822429585856344,0.7843030816883657,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
0,gbrt,100000,1.59057765079013,1.8494505669767478,1.2441701031435597,1.806576984584623,1.3231083043929472,0.7427995951538011,0.6953535596140314,0.7967722704746862,0.7049064771270611,0.7856016565929509,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
1,gbrt,20000,1.3385298625648463,2.1159649600704062,1.3126355673027805,2.0688488341102986,1.5510827921386912,0.7820221955761528,0.6538977857610908,0.7838916840771325,0.6593910384759255,0.7467791203983517,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
1,gbrt,100000,1.7059392371868127,1.9730941777417894,1.2479781538946453,1.9389785790980012,1.431230240483004,0.7214262002156469,0.6772667427367933,0.7945366833988199,0.6807724811232945,0.7655259353356759,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
2,gbrt,20000,1.4279362269705016,2.121361366345662,1.3828568089105495,2.1596443504966882,1.633573367483405,0.7680297910709332,0.6534745140397094,0.7744033619009913,0.6476797150491631,0.7348824552690334,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
2,gbrt,100000,1.770009693607653,1.98846882791378,1.2812443037767263,2.0217069321958303,1.5103178347421546,0.7111797210750304,0.6751825795259463,0.7909802333451639,0.6701825639603571,0.7550420059790601,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
3,gbrt,20000,1.305896900673653,2.0522990235017775,1.3833797345230985,2.0632265145355815,1.5903908709092993,0.7854703907222326,0.6529374598826934,0.7705609381415193,0.6578056305994826,0.738913719822428,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
3,gbrt,100000,1.6972003630889023,1.9529677913600776,1.2911062193829992,1.9519590093919112,1.4700265674147504,0.7201889151503723,0.6697352799592522,0.785864869679469,0.6762597913468194,0.7562726816605188,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
4,gbrt,20000,1.5096336446813359,2.3624750667994707,1.3434631478868515,2.34180209212944,1.665944827861954,0.7476170704670353,0.6028179005440797,0.774499150794459,0.6069275429868533,0.7220236249112977,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
4,gbrt,100000,1.897288894744619,2.2230800484520796,1.2969213331436191,2.166833681507911,1.556410168767163,0.683656056087206,0.626253155721574,0.782311213793488,0.6362960636205295,0.7404241548742215,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,50,10
