iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mean_impute,20000,1.8485573663062524,2.0275750591782855,1.4138853308322694,2.0385466354881525,1.5008369019540755,0.7016894837343958,0.6660124171884394,0.7690503052049031,0.6670156249415023,0.7560277971413351,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,mean_impute,100000,1.8818286935460018,1.9263076164793922,1.3169042314464794,1.8921563574663567,1.4045617619366737,0.6957035693348316,0.6826934610054898,0.7848915865419526,0.6909275994792126,0.7724028229795803,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mean_impute,20000,1.8354796263708901,2.26569958632939,1.5528796490650325,2.2314789295161668,1.7452859882925815,0.7010945887644349,0.629406129862051,0.7443386312623599,0.6326161156321424,0.7150746205478096,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mean_impute,100000,2.06566799283318,2.101241607604819,1.2693950691401934,2.0570107742350228,1.5029986988718,0.6626837760028366,0.6563060415618815,0.7910106677999216,0.6613400205446476,0.7537683287136733,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mean_impute,20000,2.1164710381672656,2.2474349591004357,1.9630368357288688,2.31306694622687,1.9356731357765715,0.6561763616309443,0.6328803268874441,0.6797538922675292,0.6226506436499195,0.6858537734675766,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mean_impute,100000,2.1392479865754397,2.13915979742468,1.158850895580913,2.152513219687195,1.5255427869992193,0.6509294822487255,0.6505671310370615,0.8109472619171302,0.6488430742097788,0.7525726755651795,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mean_impute,20000,1.9457678395992366,2.183676557805616,1.5798611032512848,2.1923113409357087,1.6647491352673842,0.6803539282778454,0.6307203169382702,0.7379737173021116,0.6363963958606058,0.7267067064417406,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mean_impute,100000,1.9914671933299848,2.0240721873812895,1.3167219854267669,2.0248861609345874,1.4617858292687889,0.6716742419298449,0.6577108761009285,0.7816163924297322,0.6641645315881305,0.7576389787424724,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mean_impute,20000,2.1248566124754027,2.5848680926258867,1.475199012990048,2.531874440685491,1.8802619714184006,0.6447631260846503,0.5654289222884256,0.7523872309414111,0.5750238200769258,0.6862630752887489,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mean_impute,100000,2.268589002082717,2.347566451719948,1.232135444756575,2.336895417206308,1.6208393590336665,0.6217474344450664,0.6053243545255336,0.7931855521560943,0.6077511304173548,0.7296787473654511,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
5,mean_impute,20000,2.0538286296903774,2.2747852763061296,1.8084954275768272,2.2583419919905063,1.7876174333153787,0.6492853345233269,0.623018920285872,0.6971504800849273,0.6218194540890986,0.6972331607646127,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
5,mean_impute,100000,1.9360121989055272,2.0819394581222443,1.2729182636703056,2.048372137952828,1.491631128389748,0.6733248757819299,0.6549776398690086,0.7868378989709648,0.6569808753027264,0.747050581561705,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
6,mean_impute,20000,2.2299417542719637,2.5018163185483457,1.8071373311954648,2.3972165877630536,1.8823607250968242,0.637914744617452,0.5856979437237215,0.70557459824991,0.6094367346906544,0.6914979887629875,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
6,mean_impute,100000,2.1031984411068843,2.3075118194615416,1.3556735612433808,2.110933631629458,1.5388112669894198,0.6548883768357897,0.6178748677123318,0.7791287214198526,0.6560789975219348,0.747251335450145,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
7,mean_impute,20000,1.6178442932598274,2.0097931455592137,1.346636174725165,1.952040359966483,1.4984620597480052,0.7191695015727071,0.6428794287938912,0.7695668909253791,0.6659715982470011,0.743604240314957,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
7,mean_impute,100000,1.5975631188563635,1.7562758469748507,1.17843650882979,1.7681849135109067,1.3134555752230912,0.7233331853453155,0.687926971463207,0.7983488089259809,0.6974324953640028,0.7726269392544144,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
8,mean_impute,20000,2.20193729066495,2.5520156951462623,1.4756065537039684,2.5777540127928606,1.9266567971518525,0.6469886947850712,0.592841863248811,0.7629525711135896,0.5858991277177796,0.6893364528478164,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
8,mean_impute,100000,2.3662604769308553,2.3556372961702756,1.1362624346047783,2.3861118534414616,1.6402338961108982,0.618861486106359,0.6241728081083261,0.8174661884042353,0.616685302410795,0.7346414171539679,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
9,mean_impute,20000,1.8167917222672747,2.036217522403339,1.5053082410557264,2.092278986242379,1.618427982973385,0.7043921839529823,0.6650335336403547,0.7515823377361532,0.6547158645716458,0.7372893308282487,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
9,mean_impute,100000,1.90114506137632,1.8697727011580791,1.4226090916432492,1.927298360954916,1.457952539819008,0.6898798878014599,0.6924144165779408,0.7652299939489751,0.6819422492647873,0.7630029767085192,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,mean_impute,20000,2.8850609546139143,3.2356604447935737,1.8516633517005867,3.268135469025203,2.318670997679744,0.5226922654173557,0.4569355240511901,0.6899141905347733,0.45270697752700073,0.6134043925684882,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,mean_impute,100000,2.9838340066036477,3.0660319723131013,1.4579028064603687,3.088713460508764,2.085376997927433,0.5012833847228841,0.4854055069450478,0.7558546636203072,0.4827535940977721,0.6511317375614671,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mean_impute,20000,2.747906323591846,3.0593306208811017,2.4135498584124897,3.0547802844553233,2.480846564139866,0.546967271160254,0.5052778806796839,0.6117635852158244,0.5086171758762033,0.5873137838158673,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mean_impute,100000,2.757264765526119,2.7568488158740343,1.5090736248000822,2.7565588212138064,1.9805639473168553,0.5452053144519298,0.5541919923508941,0.7572549281732658,0.5565881889037659,0.6733469961734635,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mean_impute,20000,2.8665195126877965,3.2474043466829863,2.0240022813418563,3.155886463288572,2.4334463082132793,0.5305291382336239,0.48225310056673265,0.6712725706152087,0.4874381051491068,0.6036152876400673,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mean_impute,100000,2.9460050475969677,3.12061440752782,1.3816132940900288,2.995073420319655,2.062724046554403,0.5173858140710843,0.5024677368943498,0.7756058919711474,0.5135564839246836,0.6664098878746099,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mean_impute,20000,2.6271438253765416,2.9386297252377918,1.9409351927821084,3.007455650061714,2.2745981015829564,0.5680729076092497,0.5114785681821681,0.6803596373937268,0.5047211168704238,0.6249074944092239,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mean_impute,100000,2.7792407566864883,2.7810427498941017,1.3580833406973367,2.8300033839028194,1.9409195716354606,0.5440476306205821,0.5376760214269831,0.7763458290187394,0.5339446102210859,0.6805083969576624,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mean_impute,20000,2.7989303771523386,3.215832062417819,2.080148108633462,3.1113398333842195,2.417761502917244,0.5492752896240876,0.48353022991818406,0.6650107327921215,0.49894651900302855,0.6103036832045458,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mean_impute,100000,2.911940045395021,3.0022942523804175,1.5356532371047926,2.8959723645449094,2.089343550771003,0.5300009171192253,0.5178248763776988,0.7526967669042133,0.5336295255963869,0.6643023086835393,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
5,mean_impute,20000,2.808130749971996,3.4203083824595173,2.1817159317155452,3.4381567509017135,2.655387976199335,0.5447325440331878,0.43497514802922754,0.6476466864694941,0.4447279290549514,0.5674544258807839,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
5,mean_impute,100000,3.11196175713485,3.1722360332962394,1.4983420478735876,3.1717762759823396,2.1886157866025626,0.49579081889753973,0.47595596808710494,0.7580135077644119,0.4877491316016397,0.6448034529166939,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
6,mean_impute,20000,3.2143508282192217,3.461305771400057,2.1850143039850183,3.449338812717827,2.6527058051986496,0.48465491514721437,0.42970807841770986,0.6506071023503373,0.4484363417882723,0.5722648140301358,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
6,mean_impute,100000,3.2264482801644747,3.2683590812989873,1.6329603811658855,3.287724984286522,2.3130822489018477,0.47914262512077543,0.4614983754697306,0.7388828264043446,0.4742790668051682,0.6267620078848499,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
7,mean_impute,20000,2.626081880631595,3.0769327771847252,2.096140917227747,3.056150549520116,2.407247797325728,0.5681418314657558,0.49430976146142613,0.6541388097063028,0.4957381643159251,0.6071584926222982,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
