iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,0.9437230740803331,1.033739029554993,0.7791857515873757,1.0426764825850248,0.7747740251368168,0.8477069077909118,0.8297197441958266,0.8727246774589101,0.8296850457587754,0.874054718814418,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,mice_impute,100000,1.0156605084830952,1.019753255331238,0.7269464689663422,1.038730204896779,0.8167305776946288,0.8357651424069856,0.8320235183054929,0.8812576511835479,0.830329646567485,0.8676558205505704,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mice_impute,20000,1.0435692698536467,1.114580317151081,0.808888801692105,1.1098935106522032,0.8285665306412564,0.8300561350413092,0.817691349813156,0.8668270150093953,0.8172705178683918,0.8647329808822322,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,mice_impute,100000,1.004977163535381,1.049054528484443,0.7687155720270082,1.0459943617804053,0.7719734303001142,0.8358908095670381,0.8284092118643875,0.8734410130027195,0.8277906788297195,0.873529958426365,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mice_impute,20000,1.099691216460112,1.1197409265631344,0.7861600311456445,1.0980847627402166,0.85988872941789,0.821353645616989,0.8170897354488301,0.8717473429703874,0.820860533624516,0.8604460667497891,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,mice_impute,100000,1.0295757790840494,1.0800390686824493,0.7484880668964228,1.0309522474508128,0.7851599198504231,0.8319995846557423,0.8235750546471006,0.8778930757971332,0.831812404894797,0.8726551494473764,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mice_impute,20000,1.0531170370786422,1.134724011932628,0.8446510292525458,1.1236421400116492,0.8535728235308657,0.8269964601557007,0.8081077886781454,0.8599112485796875,0.813639457023126,0.8598733447024103,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,mice_impute,100000,1.0962468459006331,1.1239566335325637,0.8525800972241594,1.144542106885134,0.8502269776609316,0.819265876978621,0.8099286508698325,0.8585961809439407,0.8101731139268258,0.8590341522809259,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mice_impute,20000,1.1804204237194078,1.2259770601654694,0.7964028012721769,1.2027812234213844,0.8557561816543384,0.8026554550711975,0.7938872881731667,0.8663234579385181,0.7981126704393644,0.85721015644839,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,mice_impute,100000,1.197218231748459,1.2374591662498158,0.8394768616141209,1.2081489911554866,0.8741708301642689,0.8003821462273475,0.7919569029323461,0.8590934589607886,0.7972116883884,0.8542070486445534,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
