iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,1.315461846343495,1.6015244401507847,1.3416515489114802,1.622240400373138,1.3535629006947862,0.7877176496315338,0.7361926138525432,0.7808492605548975,0.7350167533530356,0.7799682815898832,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,neumice,100000,1.2631695398470142,1.3928580504187082,1.2700159704284983,1.4001805100254245,1.2901086555975538,0.7957423097975451,0.7705646992681506,0.7925505029586052,0.771288905545073,0.7909489664172913,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,neumice,20000,1.5604077438511943,1.8370617640788827,1.3264324469388058,1.811435386357356,1.4037462241623242,0.7458896782781534,0.699517167703863,0.7816202078979074,0.7017708033364001,0.770832443360578,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,neumice,100000,1.6729395182360876,1.7058134130772304,1.4041094505153375,1.7218740925085698,1.3980131428526064,0.7268149367541643,0.7209850775010866,0.7688317029640115,0.7165159015705619,0.7709677906552803,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,neumice,20000,2.987859492366977,3.077870141913883,2.37912768785047,3.0183879805616547,2.6212082419106104,0.51461810576406,0.49722830651588856,0.611873619503542,0.5075859073003908,0.574596215170621,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,neumice,100000,1.756949063630716,1.770900532368436,1.3030147578927809,1.7760259955991293,1.4096819220384063,0.71331088160285,0.7107224741141451,0.7874286427344629,0.7102624861794166,0.7713641143030906,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,neumice,20000,1.8417318126518962,1.9907769284621681,1.6200484148132483,2.0641241873549325,1.668648933398972,0.6974447171451066,0.6633414089823488,0.7313084909486476,0.6576567479721114,0.7260664966629725,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,neumice,100000,1.9096155663225238,1.9429148247696368,1.5255856894314268,1.9724757570498117,1.583616767058189,0.6851688139602099,0.67143532857821,0.7469755117610293,0.6728570066901258,0.7374396650590367,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,neumice,20000,3.1687591335090257,3.258728949066903,2.79180222551395,3.279996836679572,2.831056056913884,0.4702418590649775,0.4521386389479981,0.531394833079309,0.44945116416023534,0.5276153884496784,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,neumice,100000,1.7539852577219386,1.8332314334940814,1.2880152403692018,1.8049861822041122,1.3627190263356042,0.7075497487337885,0.6917949654680653,0.78380610517692,0.6970323171636599,0.7727276844957701,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
5,neumice,20000,1.1954427491867712,1.58510932772037,1.2337721203818515,1.5724690478285985,1.2843520044532362,0.7958645147814705,0.7373131292640984,0.7933932877879106,0.7366753108940487,0.7824706843830963,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
