iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.6815191246908454,0.7024020870974335,0.6793537918729083,0.717109444786118,0.6680383694793883,0.8900200093126419,0.8842984509157749,0.8890316297442704,0.8828644701260554,0.891405393628185,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
0,oracle_impute,100000,0.6933594369755578,0.6803757813930662,0.6465922390806869,0.6986300740810918,0.6502267163312735,0.8878820359348956,0.8879266828607129,0.8943830330394182,0.8858829645762518,0.8946363420457922,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,oracle_impute,20000,0.720037192064191,0.7379059502942394,0.7031473995436816,0.7647159901988627,0.7014419590539342,0.8827429027777401,0.8793028768829872,0.8842359569204957,0.8740994919551467,0.8854866092504116,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
1,oracle_impute,100000,0.7192563670565784,0.7253644598451041,0.6733583368962729,0.7534608774977387,0.679040245319936,0.8825479977115392,0.8813542518803111,0.889140337330422,0.875952499379256,0.8887549173520164,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,oracle_impute,20000,0.7426048251369181,0.7871221260460339,0.6839106714101584,0.7514661317630545,0.7079284474334361,0.8793628222429694,0.8714231900489156,0.8884281096668862,0.877407239940793,0.8851081588591923,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
2,oracle_impute,100000,0.7327533634517489,0.7697673090277495,0.6587493810666196,0.737207485214292,0.6895656690865014,0.8804334057719261,0.8742581084632981,0.892532874871179,0.8797333685063218,0.8881595521422323,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,oracle_impute,20000,0.7626535489525944,0.798596134999365,0.7536142538108932,0.8165267500897968,0.7497025496573029,0.8747131050033866,0.8649500876983177,0.8750100618922553,0.8645757727631154,0.876925192724632,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
3,oracle_impute,100000,0.7663316638216094,0.7845081647199695,0.7141215871135544,0.7963179262045296,0.7202031061923144,0.8736577608207166,0.8673324923548875,0.8815600786166587,0.8679274870305631,0.8805918371661015,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,oracle_impute,20000,0.7222062561461531,0.7842303704259442,0.6754431548182154,0.7534089240154471,0.6992286966213493,0.8792604210330274,0.8681542635686536,0.8866265850007482,0.8735399981519814,0.8833280339215971,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
4,oracle_impute,100000,0.7245072847237901,0.7726974072369974,0.6422003904756619,0.7443132427955018,0.6652304568636326,0.8791994764329638,0.8700931989659864,0.8922063968481937,0.8750667120349983,0.8890538230159704,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,1,,
