iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.6974118913185746,0.6847502222416699,0.5633739458399079,0.7030799039790361,0.6283357222795423,0.8874553177839825,0.8872061132726408,0.9079762424788383,0.8851561115320835,0.8978593542711139,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
0,prob_bayes,100000,0.7032304675245192,0.6864443711459104,0.5633739458399079,0.6955840552366402,0.6317440634453211,0.8862858654793502,0.8869270485372127,0.9079762424788383,0.886380513498449,0.897631297294247,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
1,prob_bayes,20000,0.7265852195304238,0.7237288746473008,0.5727901088510609,0.7557667656443062,0.6518011908900457,0.8816765652306185,0.8816217797785602,0.9056975836366883,0.8755728649883602,0.8935906763203771,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
1,prob_bayes,100000,0.7288687271991492,0.7286259082773229,0.5727901088510609,0.7582765837298764,0.652032390437618,0.8809783335456411,0.8808207862769963,0.9056975836366883,0.875159656194346,0.8931795314588175,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
2,prob_bayes,20000,0.7436422106770579,0.766070925807444,0.5621750222404698,0.7379816754728241,0.6565025777599772,0.8791942975316125,0.8748619145908313,0.9082878326783513,0.8796070685753032,0.8934542182250387,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
2,prob_bayes,100000,0.7407513064343363,0.759410011114988,0.5621750222404698,0.7402921373576989,0.6592560732416398,0.8791283461830439,0.8759499784810112,0.9082878326783513,0.8792301442037234,0.8930754563492499,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
3,prob_bayes,20000,0.776968827130886,0.7617100668450252,0.5610772443535793,0.7870849657971187,0.6849811625691511,0.8723614254544826,0.8711878592715566,0.9069430949709512,0.8694588104417615,0.8875501695852682,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
3,prob_bayes,100000,0.7749572558961014,0.7695843607595291,0.5610772443535793,0.7886384590911738,0.6791754498872272,0.8722356916718264,0.869856244133459,0.9069430949709512,0.8692011573656782,0.8873941364378612,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
4,prob_bayes,20000,0.7372122307255222,0.7638676392401352,0.5372271892688733,0.7481574085654411,0.6435738835874599,0.8767516985769657,0.8715776699938451,0.9098261924139955,0.8744214672086168,0.8926144898261752,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
4,prob_bayes,100000,0.732442178471308,0.7635332124755648,0.5372271892688733,0.7551743983668191,0.6344316398616366,0.8778764540985309,0.8716338942166244,0.9098261924139955,0.8732436625464151,0.894190405333792,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",discontinuous_linear,,,,
