iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.2321291614607881,0.23250006178804006,0.2024156082188398,0.22753154439794812,0.20773058488906213,0.8960524668856462,0.8927577850355518,0.9062415058259898,0.8946078557500637,0.9059803107171839,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
0,bayes,100000,0.23193610648652888,0.23250006178804006,0.2024156082188398,0.22753154439794812,0.209012416455699,0.8964535374810189,0.8927577850355518,0.9062415058259898,0.8946078557500637,0.9063091062706532,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
1,bayes,20000,0.25435232240996963,0.24620511210166923,0.21916709464893425,0.25404354761273856,0.21829768786426704,0.8907626299135963,0.8939229536743731,0.9051100360548852,0.8900100258568672,0.9049680156628935,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
1,bayes,100000,0.25101301844664714,0.24620511210166923,0.21916709464893425,0.25404354761273856,0.22109411064157294,0.8918821525823617,0.8939229536743731,0.9051100360548852,0.8900100258568672,0.9052663466952292,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
2,bayes,20000,0.24570470473667924,0.25197721313747806,0.2105061163429814,0.24839912876893255,0.21673083741400087,0.893730840990405,0.887512667852462,0.9061979082950506,0.8893126800256519,0.9050293927074912,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
2,bayes,100000,0.24431158082678067,0.25197721313747806,0.2105061163429814,0.24839912876893255,0.21742996463024156,0.8935243504122584,0.887512667852462,0.9061979082950506,0.8893126800256519,0.904927010003932,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
3,bayes,20000,0.2702581565748019,0.26477402856278043,0.23063723840434905,0.2714502569926543,0.22651185165540952,0.8917620852428967,0.8938375875970415,0.9074129269559577,0.8910289381459702,0.9022874990181898,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
3,bayes,100000,0.26023983550030744,0.26477402856278043,0.23063723840434905,0.2714502569926543,0.2288730233246451,0.89293377793915,0.8938375875970415,0.9074129269559577,0.8910289381459702,0.9028459950876057,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
4,bayes,20000,0.2862514766927302,0.27980831881072665,0.22943407548555333,0.27955248021653256,0.238959451754625,0.8835354926587824,0.8958086224219958,0.9138095081555829,0.8949817470870547,0.9047616032858532,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
4,bayes,100000,0.28497442977812,0.27980831881072665,0.22943407548555333,0.27955248021653256,0.2434087284509318,0.8865777728774936,0.8958086224219958,0.9138095081555829,0.8949817470870547,0.9051121255195094,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
5,bayes,20000,0.2888412177530541,0.2874512782663164,0.24576826069768473,0.2891125899669982,0.254031774610739,0.891536335307105,0.8933290438127526,0.913847701510513,0.898653658217714,0.9067181901404937,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
