iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,0.460354690986095,0.786740049776577,0.6700953028455445,0.7725544952257576,0.6388723361579013,0.7938529817430602,0.6371108683136684,0.6896132314067869,0.6421543438418116,0.710843838575667,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
0,gbrt,100000,0.5931550353625704,0.7206826748640632,0.5493622817156849,0.7115725552966445,0.5825649277623817,0.7351895460887086,0.6675802761317757,0.7455365189329954,0.6704010532229483,0.7388622663524942,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
1,gbrt,20000,0.5571374223187073,0.9569286986320189,0.9020549413332541,0.99476415918678,0.9086244091025663,0.7607247057382163,0.5877089268024897,0.6094488499893916,0.5693097298646652,0.6044466551206107,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
1,gbrt,100000,0.7191896817487231,0.8801369005137348,0.643900287474443,0.9216170780044877,0.7556151491125374,0.6902262649290614,0.6207945400819476,0.7212187570375495,0.6009792827562441,0.6762365883010544,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
2,gbrt,20000,0.5649252964176426,0.958935647851673,0.8036131741659853,0.9644861602640326,0.8987980678127908,0.7556655001055539,0.5719132242757478,0.6419078078681371,0.5702223725137017,0.6061501937056605,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
2,gbrt,100000,0.7152721059682476,0.8784617220366941,0.6975258477979549,0.8810960324689173,0.7832435526409731,0.6882707653184945,0.6078382871401702,0.6891806058731755,0.6073812377790702,0.6575204959842833,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
3,gbrt,20000,0.4883251020990926,0.8199336524607105,0.6297984771351839,0.8031061769060313,0.653934555744625,0.8044266584045685,0.6712436826674693,0.747173535336424,0.6776008472102908,0.7179062355755093,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
3,gbrt,100000,0.5875835777375631,0.7316587476067836,0.5689412812281471,0.7196203589011094,0.5919330577183435,0.7582600923013405,0.7066379277329835,0.7716040639088393,0.7111154157302786,0.7487311245248709,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
4,gbrt,20000,0.7241868929100116,1.2827267438856762,1.0544589186580766,1.351223179095201,1.166721860414434,0.705356734993313,0.5223549211487102,0.603876047459243,0.4923919206363683,0.5349975965323305,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
4,gbrt,100000,0.9314543315032141,1.1834519262147412,0.8204848768761772,1.2114765837081096,0.9973097128570747,0.6292733182262816,0.5593215848129764,0.6917720485102198,0.5448899105905874,0.6112193697653987,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
5,gbrt,20000,0.645742657474302,1.1364906569940945,0.9022827985805687,1.1906195196047353,1.0170328918277194,0.7575151648263985,0.5782570673868561,0.6837112458517913,0.5826368793545229,0.6265401484451678,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
5,gbrt,100000,0.8383200121243299,1.0361564143219315,0.7443009430083729,1.0984974902563729,0.8793096079947376,0.6890850582929667,0.6154903323377502,0.7390906505745227,0.6149295950507943,0.6710479380259624,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
6,gbrt,20000,0.5558728845498853,0.8877417618487198,0.7479753484495594,0.9291168749485654,0.801370318009141,0.7656026534385992,0.6189988104414093,0.6821119229298555,0.6051271243590468,0.6607567260958942,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
6,gbrt,100000,0.6514144616896107,0.8013845158252763,0.6032114790002728,0.8176621572054744,0.6824749790344659,0.7239807361400679,0.6560616308199584,0.7436362875815208,0.6524951639303886,0.7110858421685559,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
7,gbrt,20000,0.4281429968636873,0.7558551246869579,0.5743692851264761,0.7568633040973171,0.6090330901254454,0.8446973435130573,0.7329626954490941,0.8093347175350417,0.748754748208202,0.7873122605029628,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,50,10
