iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mean_impute,20000,1.0146570012452623,1.191809651209189,75.56009390896438,1.21189645193776,5.065736203340511,0.5456361812840596,0.45026979421536417,-33.999280376106455,0.43865205144820296,-1.2927723622457559,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
0,mean_impute,100000,0.9739129359860803,1.0451402734892838,105.43139111886234,1.0676256774320239,5.951807912069198,0.5652024997294212,0.5179220297166152,-47.835603918885845,0.505477978015841,-1.6679285950715403,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,mean_impute,20000,1.2491192438808028,1.561905027835256,132.9019186925704,1.5061581365695966,7.396000243449252,0.46353742779701235,0.32705592268330996,-56.54083793087279,0.3478980432548008,-2.219716095800917,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,mean_impute,100000,1.1355520848310523,1.2697694658926286,143.32612161554798,1.2423256237475433,8.896772132995533,0.5108881292201172,0.4529220238094085,-61.054071275058625,0.46212622002255543,-2.8120586945216752,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,mean_impute,20000,1.1760121776959245,1.452787357508805,31.237621440923167,1.4338194795175623,4.5261238736737734,0.4913657626429162,0.35144860128810373,-12.919568143434908,0.3610861829453281,-0.9833298209558445,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,mean_impute,100000,1.1891813745670785,1.302771969716352,177.7270573448248,1.2880411870691721,8.965368711388075,0.4817320615495213,0.4184182710599673,-78.19565483953639,0.42604538220467414,-2.9201791310520533,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,mean_impute,20000,0.852067256439077,1.0257607554552377,34.324388466908175,1.0479441003775862,3.2076744444618535,0.6587485675228995,0.5887163218442755,-12.779191444384661,0.5793130474549455,-0.38372403039035863,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,mean_impute,100000,0.7940822811531728,0.9101518694415066,93.26696106604462,0.9030626811399507,4.326280874235512,0.6733037058485556,0.6350702573154285,-36.44111313749971,0.6374742821214916,-0.8364572075918177,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,mean_impute,20000,1.6945131759433505,2.0047063173186763,171.38340616780857,2.0728559048954533,9.709702348818727,0.3105689986316278,0.25351357054523294,-63.382851763904796,0.22129932274688213,-2.869846860975578,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,mean_impute,100000,1.5307589255667111,1.6564187260521408,465.61849822018274,1.7295439746148917,12.744152131738094,0.39074503399967175,0.3832043677367639,-173.91685700358556,0.3502698083398168,-3.968044965077798,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
