iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,0.5463966490440815,0.6490554136228182,0.9944145225721013,0.6533790072363358,1.0438174299872407,0.7553233578553384,0.7006188314262304,0.5393892346467303,0.6973561852149366,0.5275640778280237,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
0,mice_impute,100000,0.62096931385123,0.6428582046762473,0.97205912348322,0.6434863363840745,0.6592362784156706,0.7227720308141484,0.7034773356731395,0.5497442096097601,0.7019384500443582,0.704493937963423,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,mice_impute,20000,0.7075362473261637,0.9237771262187398,1.1302648100796777,0.9051906978060795,0.9125080391973013,0.6961325213530509,0.6019922243856797,0.5106437522079268,0.6080912017570067,0.602755986392303,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,mice_impute,100000,0.7418288756198375,0.7975087300685189,3.8893093756521457,0.8387504726846677,8.648702926503976,0.6804749742439699,0.6563947442747002,-0.6839043608174402,0.6368569732628742,-2.705766843801786,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,mice_impute,20000,0.6534814201972537,0.8493160854288752,1.5614443380818062,0.8140997209379495,1.20935924935201,0.7173643010735924,0.6208494434464605,0.3042162026575864,0.6372349744176861,0.4700634957342098,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,mice_impute,100000,0.6716463945146394,0.7473031610201714,1.5446787593920155,0.7221577209615516,0.8519673742342984,0.7072836829625571,0.6663899173981378,0.31168698962124863,0.6782045769316136,0.6274704556692559,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,mice_impute,20000,0.5258322819750345,0.5998997658844972,0.8777728023381925,0.5828725495652936,0.729324593964946,0.7894050990568569,0.7594673212778212,0.6476266576532704,0.7660114919198088,0.6853845413251418,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,mice_impute,100000,0.5228979785460633,0.5576427424697282,0.7165088529806118,0.5492056086218566,0.4995232474249462,0.7848726311306162,0.7764104768094692,0.7123644994772538,0.7795267574591688,0.7879580418468977,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,mice_impute,20000,0.907171770540185,1.1533444845448715,1.3734030956829575,1.1780843222586728,1.0972006168021857,0.6309073596736978,0.5705326018272886,0.48405968874918615,0.5574342348459684,0.5627056103003023,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,mice_impute,100000,0.9152323165037582,1.0301400524168665,1.4309891032394018,1.0874891052917,1.073966290110917,0.6357298170464936,0.6164098636674411,0.4624266061125192,0.5914677422602876,0.5813363835353755,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
