iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,2.2309912060700428,2.1665171193727706,2.158580745147061,2.1575758156401275,2.208705724517522,0.0009612286047392393,0.0006794284134531425,0.00014983034710391863,0.0006153116316265361,0.0003310006217145389,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
0,neumice,100000,2.2060872142905574,2.1712131660918588,2.170235441844908,2.1448477972372713,2.2415662814637356,0.015105795692882618,-0.001486654674260901,-0.005248601236608419,0.006510903625603137,-0.004793647311471139,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,neumice,20000,1.4952392931883467,1.611522045311939,3.597839750012374,1.6254920301984004,2.3878574627475717,0.35783559398966247,0.30567851659906853,-0.5577104980372796,0.2962315789892336,-0.039510932155021106,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,neumice,100000,2.3196232548182776,2.3184692931015523,2.3295810780112007,2.309437739159676,2.33542935796145,0.0008778242545448567,0.0010915187361398848,-0.008608819009954471,0.000112383871422983,-0.0006768360898277148,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,neumice,20000,2.335160868598131,2.2235484652319437,2.2443718606429366,2.233448756563174,2.282959981545956,-0.009974888042889152,0.007366453337871115,-9.813847414030796e-05,0.004769226087007028,-0.0003841560292325852,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,neumice,100000,2.3989157866886455,2.3840713404394624,2.2465187781907012,2.346381496836408,2.2859903318455115,-0.04549328291998278,-0.06429395498204404,-0.0010548107086432168,-0.04555390676838811,0.0004324550194593213,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,neumice,20000,2.4961859605744134,2.526571465190193,2.7047738146915106,2.519722649301517,2.3450437421932953,0.00028192805440641067,-0.01304090627404264,-0.0858051045053343,-0.011518116482998497,-0.011603089581550874,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,neumice,100000,2.431368894638707,2.4948958689677214,2.491092672756929,2.490985289943268,2.357119213071023,-0.00029836510146319384,-0.00034042455560134854,-2.4891243561198095e-05,1.8216541117999085e-05,-0.0005703961054903672,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,neumice,20000,2.4530021405970452,2.6813255436697956,2.662394056601331,2.6615618086511597,2.508976103462487,0.001969564970134341,0.0015629152218860076,-0.000169886432456412,0.00014276050113426475,3.594863767653056e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,neumice,100000,2.4688534765669323,2.641793716906615,2.6588172904396545,2.6362074418649617,2.5594128845580317,0.017375488848634824,0.016283262015495792,0.0011737816082866281,0.0096675241574542,0.0022656538274063998,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
