iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.2269054760613255,0.24654974845808061,0.22635591320060594,0.24298253074841972,0.21927719096075124,0.8983916353366179,0.8862772727016445,0.8951524057071384,0.8874509905929204,0.900754270865079,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
0,oracle_impute,100000,0.23688297402025393,0.23858119186386983,0.21513797459111603,0.2347888910982826,0.21708163395466923,0.8942450385912741,0.8899528229473549,0.9003485318409745,0.8912462676575762,0.9026920379069886,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,oracle_impute,20000,0.25053336180511926,0.2613789271037358,0.2451714123346008,0.27026400735098394,0.23997449210010988,0.892402769107077,0.8873853417492152,0.8938512803937638,0.8829872615947377,0.8955314076036273,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
1,oracle_impute,100000,0.2556683783428598,0.25273150333571603,0.23333615111439684,0.26402598106795383,0.23122515502026894,0.8898769677754235,0.8911110693094892,0.8989754415378676,0.8856880597689963,0.9009254312226206,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,oracle_impute,20000,0.23449779278029328,0.26714560058387854,0.2343452046169145,0.2635676910502395,0.2372973559760429,0.8985779158967485,0.8807412165153331,0.8955751464329181,0.8825535278695923,0.8960172245221271,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
2,oracle_impute,100000,0.25071554568619553,0.26100837706279606,0.2235795237076125,0.255946554037624,0.2281476865245613,0.8907333803074613,0.8834809876719536,0.9003723628058392,0.8859495270233109,0.9002406004367313,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,oracle_impute,20000,0.27820999637107524,0.27489985182833837,0.2599907832445971,0.2857155222944352,0.2475603363361598,0.8885773874378817,0.8897775903561008,0.89562923227149,0.8853022863284824,0.8932076205703183,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
3,oracle_impute,100000,0.2613334054423435,0.2718302176477299,0.24795319012765052,0.2811452610574199,0.24186959726006696,0.892483868331622,0.891008374854025,0.9004616067870018,0.8871369731895868,0.897329096723506,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,oracle_impute,20000,0.27699051834550237,0.29734544978427546,0.25343019988485066,0.2952983219316121,0.26132520612854404,0.8873034136626458,0.8892783739909764,0.9047949894536063,0.889066575859525,0.8958476282485246,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
4,oracle_impute,100000,0.28910910910336335,0.288583080528423,0.24166086268004425,0.28690426997216967,0.25505757575869087,0.8849321356255071,0.8925411909347142,0.9092163246899623,0.8922199325063997,0.9005710625583927,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,1,,
