iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.2362501348126599,0.23548534725202025,0.2024156082188398,0.22921553668701208,0.20819496678555738,0.8942070933390338,0.891380802066187,0.9062415058259898,0.8938278339789532,0.90577012962305,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
0,prob_bayes,100000,0.23475470862172723,0.23658618978129897,0.2024156082188398,0.23005572568184707,0.20955757099570868,0.8951951897197781,0.8908730310563258,0.9062415058259898,0.8934386601614276,0.9060647379362727,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
1,prob_bayes,20000,0.2570820812313119,0.25015444163175415,0.21916709464893425,0.2585977706026706,0.2189386441713161,0.8895902731142236,0.8922213918833044,0.9051100360548852,0.8880382423826879,0.9046889868269576,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
1,prob_bayes,100000,0.2544972974944231,0.2488850431703244,0.21916709464893425,0.2580613545263535,0.2219568944681133,0.8903813828104226,0.8927683100128644,0.9051100360548852,0.888270487566313,0.9048966640127585,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
2,prob_bayes,20000,0.250194994808526,0.25523357397135826,0.2105061163429814,0.2514418705481576,0.21750705653066552,0.8917887562828465,0.8860589675826956,0.9061979082950506,0.8879568261038384,0.904689256519299,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
2,prob_bayes,100000,0.24826879444753275,0.25693416015403553,0.2105061163429814,0.2526389500553219,0.21826653437918597,0.8917997211932867,0.8852997941622326,0.9061979082950506,0.8874234042552961,0.9045612131943357,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
3,prob_bayes,20000,0.2742965956373036,0.26871628801379815,0.23063723840434905,0.2741730309587263,0.2280701070650869,0.8901446975253947,0.8922569198256964,0.9074129269559577,0.8899359070560073,0.9016153000487529,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
3,prob_bayes,100000,0.26388370959735513,0.26860561381502485,0.23063723840434905,0.27478956852947184,0.23027070882885928,0.8914346383762685,0.8923012951747301,0.9074129269559577,0.8896884040530579,0.902252693429027,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
4,prob_bayes,20000,0.29432119904798715,0.2845938827587981,0.22943407548555333,0.2835818527931359,0.24003234806952378,0.8802522388941416,0.8940266364454657,0.9138095081555829,0.8934680503815114,0.904333995488291,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
4,prob_bayes,100000,0.29052359965672,0.2841650308066476,0.22943407548555333,0.2834920645624137,0.2442393472019913,0.8843691564524971,0.8941863267501052,0.9138095081555829,0.8935017807319462,0.9047883259240994,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'gaussian_sm', 'missing_rate': 0.5, 'sm_type': 'gaussian', 'sm_param': 2, 'perm': False}","{'mdm': 'gaussian_sm', 'missing_rate': 0.25, 'sm_type': 'gaussian', 'sm_param': 4, 'perm': False}",square,1,,,
