iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.2081105280120585,0.2067022275064747,0.2024156082188398,0.20985838134674878,0.2040416196579959,0.9068080207336063,0.9046572093555464,0.9062415058259898,0.9027940285929246,0.9076499510591931,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
0,bayes,100000,0.2064160006183644,0.2067022275064747,0.2024156082188398,0.20985838134674878,0.20602569503608129,0.9071848558681758,0.9046572093555464,0.9062415058259898,0.9027940285929246,0.9079406922323525,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
1,bayes,20000,0.2207718912437123,0.22675531376500166,0.21916709464893425,0.23102197323746035,0.2133502927541853,0.905184507222257,0.9023028656167815,0.9051100360548852,0.8999773814306093,0.90712177541734,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
1,bayes,100000,0.22373651443393225,0.22675531376500166,0.21916709464893425,0.23102197323746035,0.21773786778257906,0.9051762419833822,0.9023028656167815,0.9051100360548852,0.8999773814306093,0.9071137990468183,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
2,bayes,20000,0.2181231464106545,0.23264930386631,0.2105061163429814,0.22074434956164588,0.21068520206568508,0.9056600753557866,0.8961410073869466,0.9061979082950506,0.9016357240319147,0.9076785665276516,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
2,bayes,100000,0.21434698460282303,0.23264930386631,0.2105061163429814,0.22074434956164588,0.2080669765772518,0.9040505204669764,0.8961410073869466,0.9061979082950506,0.9016357240319147,0.9082364868867315,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
3,bayes,20000,0.25340908344925434,0.25003750048052953,0.23063723840434905,0.2506654556729425,0.21971940167858256,0.8985101092944648,0.8997462689739415,0.9074129269559577,0.8993727942002133,0.9052176206439637,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
3,bayes,100000,0.23973301535157115,0.25003750048052953,0.23063723840434905,0.2506654556729425,0.2242450574313442,0.9002508186552605,0.8997462689739415,0.9074129269559577,0.8993727942002133,0.9053550436995246,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
4,bayes,20000,0.24382600881842867,0.2472984265431201,0.22943407548555333,0.23959104327959066,0.23265440326763984,0.9007967528338873,0.9079142327007442,0.9138095081555829,0.9099938846569231,0.9072745095747496,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
4,bayes,100000,0.2481875617661635,0.2472984265431201,0.22943407548555333,0.23959104327959066,0.2349133458060664,0.9031885094871057,0.9079142327007442,0.9138095081555829,0.9099938846569231,0.9074247360016782,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
