iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,0.29266289181009253,0.5183343576462799,0.526251350451408,0.5071282588770005,0.545652357056466,0.8689454377626267,0.7609147964148156,0.7562414548485845,0.7650992316067371,0.7530355720401842,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
0,gbrt,100000,0.3768511165877816,0.5339418276200305,0.3984044527770596,0.5135596962646749,0.4798701768811363,0.830548549542908,0.7537157460700374,0.8154598753856328,0.7621202030123074,0.7855776373219888,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
1,gbrt,20000,0.2712250995461202,0.4433006230926925,0.45822853785081197,0.45854519786259545,0.5279223048123299,0.8835162333289555,0.8090046939701054,0.8016066713621617,0.8014695711412133,0.7701784902397645,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
1,gbrt,100000,0.3370129673706681,0.4278142588554927,0.3771736244148795,0.4439303673182312,0.3944150869176302,0.857167543048253,0.815676967192144,0.8366999768870175,0.8077971667396314,0.8317439249520895,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
2,gbrt,20000,0.39361368211802084,0.7128749198043506,0.6108096506455875,0.628638682570393,0.7924535580040778,0.8297590800380477,0.681759327023232,0.727821576591279,0.7198769120053997,0.6527499429580721,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
2,gbrt,100000,0.5017012877084038,0.7390064919935202,0.4733208869025442,0.6762004882483906,0.594993434457754,0.7754203189474909,0.6700937053434783,0.7890869395606485,0.6986832434537864,0.737590805021857,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
3,gbrt,20000,0.3569935325042985,0.5849622256340181,0.5582852242252205,0.6222020749225008,0.6715641559348059,0.8570247202535676,0.765456599444434,0.7758818342069805,0.7502230370188216,0.7103011927783995,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
3,gbrt,100000,0.4347267676573374,0.5972560783967913,0.46188795791181675,0.6396486872749856,0.5440371755300312,0.8191169492492684,0.7605273204131513,0.8145795778981261,0.7432192644128619,0.7703834577507317,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
4,gbrt,20000,0.5296713053310751,0.9574619961206474,0.741507013929721,0.9805949020500042,0.8615246703443603,0.7844975042892768,0.6434727717231414,0.7214413155437676,0.6316242182903662,0.6566353507643055,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
4,gbrt,100000,0.697947940329856,0.9965786682278643,0.5799169001526994,1.0150824930495526,0.6761876819940651,0.7277487238969684,0.6289070148134088,0.7821451641510935,0.6186684163917622,0.7335261946986524,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
5,gbrt,20000,0.31310771890088,0.5357289067136175,0.646363922216644,0.5351979145574834,0.6872412541444218,0.882423945931923,0.8011951274631477,0.7734217697534916,0.8123902152580044,0.747641380315742,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
5,gbrt,100000,0.3948941414666749,0.5224986944456794,0.4778518021553149,0.5141217850215525,0.4982311260997861,0.8529864309005062,0.8061047573722333,0.8324924830563696,0.8197783010817314,0.8143864928230757,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
6,gbrt,20000,0.45441040471258787,0.7507763029842254,0.8422240006487985,0.7650918840158696,0.8156888535023833,0.8083867803683737,0.6777816738803641,0.6420564279510802,0.6748374284046605,0.6546952751673059,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
6,gbrt,100000,0.561406895092412,0.7636947368646221,0.581505356195725,0.7982206530995044,0.7633523081465143,0.7606683459061585,0.6722373378051804,0.752861347810162,0.6607577655902012,0.6800682145801986,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
7,gbrt,20000,0.36480256004163664,0.6189459362240756,0.5869577880790966,0.6696704437561859,0.6348222809598674,0.8676731674166763,0.7813315686118203,0.8051558894997929,0.7776989340767215,0.7783061083070267,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
7,gbrt,100000,0.4830873613521409,0.6588003995833098,0.46100827746015394,0.6825882551239096,0.5261701950177904,0.8276319395167069,0.7672513194712454,0.8469655747325191,0.7734107901647194,0.8134202297217407,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
8,gbrt,20000,0.592191980654037,0.9996806708239124,0.7056308472548076,1.0335322557546218,0.901079226682309,0.7335561271016643,0.5727063919804465,0.6772455200190293,0.5272639127847173,0.5953296193297386,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
8,gbrt,100000,0.7351219133742474,1.0629016672936908,0.6219945775026228,1.0445306866725748,0.8265114564858446,0.6657714393175821,0.5456838352054927,0.7155006230327825,0.5222332471536147,0.6272903135794671,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
9,gbrt,20000,0.3665805845874912,0.6504858146792101,0.656738355319622,0.6331897767242011,0.8153925387012707,0.8454659014345576,0.7040002506674645,0.7027562205851835,0.713414450677658,0.6611749142398801,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
9,gbrt,100000,0.5314472502768024,0.7281700342579085,0.48749534055030475,0.7122933821411325,0.6311590301205079,0.7749368534232095,0.6686505028274932,0.7793566398268864,0.6776116770936121,0.7309057453552981,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
0,gbrt,20000,0.7823995203961033,1.3348613171161203,1.4672364646836795,1.3874575184391427,1.4538586314524355,0.6904621232958317,0.45405125078851494,0.42648430519540204,0.4576684250612332,0.4247822263189486,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
0,gbrt,100000,1.0380364848437382,1.3626363046332044,1.2033961078180218,1.4054013119958806,1.324534480164094,0.5922296551326196,0.44269147917787544,0.5296146384630687,0.4506545268404434,0.4753575844987037,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
1,gbrt,20000,0.7387895801063491,1.4097445911508513,1.3064688456300102,1.3789488380585229,1.326333505427171,0.6841217817626931,0.4513533933526023,0.4659707853150101,0.43634402952481943,0.4516556563786257,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,50,10
