iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mean_impute,20000,0.21850702461124524,0.3169992256012788,0.41479638564593396,0.30635403719824156,0.45565602315552706,0.9021524653190413,0.853781978232383,0.8078671657328993,0.8580974389050973,0.793768270860041,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,mean_impute,100000,0.2620101920298761,0.3137433388971925,0.3561544402838569,0.3021519113587632,0.3183597818128985,0.8821868766742479,0.8552837778410981,0.835029994434521,0.8600438549671099,0.8577459907143039,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,mean_impute,20000,0.24455959134745467,0.30906622607061424,0.45268946961269374,0.3167570161866135,0.4260058785567646,0.8949683402334273,0.8668393515442486,0.8040048506428904,0.8628577803002051,0.8145459790499753,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,mean_impute,100000,0.2665046489313176,0.3055132768011191,0.3058159437047926,0.3091176668384295,0.31610259254583634,0.8870502993018188,0.8683701335862446,0.8675947960232262,0.8661652913359035,0.865151756871464,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,mean_impute,20000,0.262395916516591,0.35850991251097575,0.6524947535347306,0.3308093885125601,0.5289550733508684,0.8865117645766944,0.8399544819760977,0.7092465826107395,0.8525904465998763,0.7682139507880649,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,mean_impute,100000,0.27669275284945644,0.34210712101488483,0.3586528329930614,0.31820992854516783,0.3224875895580913,0.876142294813905,0.8472769943262954,0.8401833328403585,0.8582047998539573,0.8577737099847125,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,mean_impute,20000,0.2892795786666951,0.32893689772050944,0.43893196893452696,0.33624707579976204,0.3705504582935837,0.8841440392640647,0.8681111785022584,0.8237950360910147,0.8650168863306544,0.8401522403564824,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,mean_impute,100000,0.28540693986982313,0.3159785198585556,0.3324104629593297,0.32183993401281397,0.3162268614047392,0.881246608605945,0.873306902048565,0.8665570571883893,0.8708004930812929,0.8665331676804011,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,mean_impute,20000,0.3331834014373819,0.42429925370139343,0.8075578273712035,0.43624550969322307,0.6793408298310576,0.864440731796367,0.8420049699152385,0.696628296443631,0.8361175646389768,0.7292455645487324,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,mean_impute,100000,0.3616038913096262,0.41157575796599466,0.378550685730072,0.4152561662637534,0.41381525736839636,0.8589477593323926,0.8467427795483246,0.8577915258574104,0.8440025391348044,0.8369226040948776,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,mean,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
