iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,0.2152330890573262,0.21714569611712822,0.21645838093303676,0.220951160503656,0.22238807787346915,0.9036185349944911,0.8998400893208033,0.89973692233415,0.8976558760605762,0.8993462710701334,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,mice_impute,100000,0.2114365515643399,0.21422331705363268,0.21326350275320033,0.2183292016847715,21.039402362521553,0.9049273605273305,0.9011880562904668,0.9012167833480647,0.8988703620026834,-8.401122597836817,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,mice_impute,20000,0.22002554850511374,0.2447879216040571,0.24138794020119878,0.24769851945814317,0.24758725978879642,0.9055050410281806,0.8945335477468689,0.8954893617622327,0.892757151258081,0.8922173256871796,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,mice_impute,100000,0.23566278637066304,0.24083773379519927,0.23414606748191186,0.24312831081877248,0.236686559973585,0.9001216628190014,0.896235479325861,0.8986247824435579,0.8947358558337207,0.8990303542671934,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,mice_impute,20000,0.2214962923586603,0.24719858091065772,0.22306649807708887,0.2315288108364055,0.2359801790565234,0.9042011640032532,0.8896459384915654,0.900600968406842,0.8968301390776264,0.8965944063087663,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,mice_impute,100000,0.22416414783827043,0.24367875384437415,0.22268768980945497,0.23039280897977615,0.5555600890414929,0.8996560023697084,0.8912172550061699,0.9007697663898958,0.8973363445607913,0.7549820430199812,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,mice_impute,20000,0.26272330508621894,0.26420608197265627,0.2563998838437043,0.2706305422756315,0.4063149964968823,0.894779779966582,0.8940653084972027,0.8970707638620712,0.8913580046354292,0.8247241625373131,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,mice_impute,100000,0.2493106948441376,0.26534317841171745,0.247112609330151,0.26561271237337003,0.973141670365398,0.8962656950911793,0.8936093842445076,0.9007990497612411,0.8933723635780592,0.5892754474907287,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,mice_impute,20000,0.255073271629464,0.2624878023668556,0.2444576734213777,0.2535575967129176,0.2620236894364218,0.8962206823892603,0.9022582107556083,0.9081656590777113,0.9047471308465215,0.8955692444897513,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,mice_impute,100000,0.261831308922918,0.2630162502878438,0.24275505897820454,0.25248931849232253,0.2786278541500032,0.897866439803086,0.9020614342012157,0.9088052727705245,0.9051484462355495,0.8901976085406538,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
