iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,1.243541935041538,1.2418779987319641,2.461209200862851,1.2407279463502758,3.036444625095527,0.44314141464017076,0.42717543266268965,-0.14002704905363017,0.4252973624264882,-0.374306919361062,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumice,100000,2.2261565700580053,2.176549528220327,2.1591026212417,2.16768870165061,2.238166577690639,-0.0009933449488535029,-0.003948087544894063,-9.190158853744634e-05,-0.004068956406988233,-8.916739632991444e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumice,20000,2.3283438746776666,2.321003239942985,2.30979011292881,2.309459905340051,2.3016022998192502,3.99480661238405e-05,-2.2787379383437667e-07,-4.017887665686004e-05,0.00010278686481057786,-0.001961293528085495,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumice,100000,1.043676667727554,1.1148691250704899,1.0683548387942556,1.0753273005878063,1.0620384350324055,0.5576701280138547,0.5196605674935062,0.5374481178565516,0.5344293405658341,0.5469381761608516,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumice,20000,2.3126617320524026,2.239853093061336,2.2455214079254127,2.2458455117810923,2.281984019331838,-0.00024383986569231908,8.776308112090625e-05,-0.0006103798354997192,-0.0007548013854314917,4.35068048857401e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumice,100000,1.08472291452416,1.07922792379349,1.0559503819428382,1.0649093944708337,1.1347505562847326,0.5144387065720035,0.518212506539546,0.5294656692944073,0.5254735092121435,0.4995424105023146,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumice,20000,2.4962178568391855,2.494615190539128,2.4913424079723487,2.491666163452275,2.3240026662438167,0.00026915365665569624,-0.00022788519798133677,-0.00012514501347138385,-0.0002551134976405134,-0.0025264071062360838,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumice,100000,1.0260220311430917,0.9993225556319439,1.0196425675263592,1.0249681272314854,0.9923166154531007,0.5730881810413124,0.5993168444411012,0.5906744221725917,0.5885365280977655,0.5811824626968709,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumice,20000,2.4547573396185953,2.6845344438107284,2.662542498316481,2.6621030148057683,2.509874867805137,0.0012554432765367052,0.00036802677962999297,-0.00022565087987747035,-6.055203888943872e-05,-0.0003222580555064525,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumice,100000,2.5636617413896734,2.6858055010482516,2.662327180375964,2.6623455295735674,2.5376125775669753,-1.7537497133623958e-05,-0.00010527296042384116,-0.00014476333448198986,-0.00015165649698656303,-2.898297512632375e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
5,neumice,20000,0.8767749039383078,0.8771181857602484,0.9878755774174534,0.9191371418345385,0.9403398973096517,0.6707595268719075,0.6745081944718797,0.6537073120241821,0.6778030768850652,0.6547022212533941,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
5,neumice,100000,1.1701761333275684,1.288141423566017,2.6947586643289454,1.310793470261371,3.5646582960137634,0.5643597821011259,0.5219806355187442,0.05537170606429809,0.5405107641342719,-0.3279955698270003,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
6,neumice,20000,2.3716870330393798,2.3303044554708445,2.3593997309330548,2.3529794605891365,2.3764573122976858,-7.962768081837268e-05,-0.0001205392423280216,-0.0027403243446653125,-1.1721860466940015e-05,-0.006023233952648921,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
6,neumice,100000,2.346333328669924,2.3308903381263697,2.352975029744921,2.3530670141938614,2.3864658977910955,-0.00025817551394036187,-0.00037198847935826507,-9.838760241187572e-06,-4.893197321242937e-05,-0.000201725174099332,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
7,neumice,20000,2.7569157340199983,2.831084377088687,3.0154893273411574,3.014114877514112,2.8644276282481234,-3.1158609076653576e-05,-0.00019847232900316314,-0.001009523413086022,-0.0005532666610386094,-0.0003210779228228766,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
7,neumice,100000,2.8046365650586127,2.8341275939337187,3.0177550804908844,3.0148651615630713,2.8207522296597283,-0.0007087822098661434,-0.0012736154310595271,-0.0017616535765112573,-0.0008023278901612141,-0.00023777098207800051,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
8,neumice,20000,2.2233131018085044,2.3407875238383298,2.193868889842394,2.1884793720904754,2.2465240390055508,-0.0003312656433072103,-0.0005230428669718012,-0.003472304877594201,-0.0010071476269779556,-0.008903225298510842,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
8,neumice,100000,2.201941427968697,2.3558661142032773,2.1863118703976614,2.196042389264553,2.2176289434124143,-0.0011287934526524879,-0.0069680862382486275,-1.5735638055236478e-05,-0.004466460218828017,-2.4599308738659786e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
9,neumice,20000,0.7147213723312259,0.7917332237267125,3.1662438606300087,0.7910682148333971,5.65749716298026,0.6987052025056136,0.6397264467989678,-0.43306125500251214,0.6419577080471068,-1.3508946555822026,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
9,neumice,100000,1.1522925012294498,1.069223552361323,1.0643577869141743,1.0899912539924201,1.1003144848913347,0.5120144549276252,0.5134561025969904,0.5182651832814211,0.506663319963822,0.5308816129429845,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumice,20000,2.5274979453868314,2.4445294027869218,2.55842717946863,2.557697035737822,2.5393816234563573,5.5180257387821285e-05,0.00020492559818341416,-4.203600286967202e-05,0.00024336372591371447,-0.004703904747514587,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumice,100000,2.546247595006671,2.4439811541974312,2.5584373100723967,2.559003362598487,2.524695024225786,-0.00023869593553582646,0.0004291553573736451,-4.599586918829779e-05,-0.0002672553700324709,-2.0849400479860947e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumice,20000,2.327315521669522,2.57214813607353,2.467069197606507,2.4524851938130072,2.4413981832858784,0.004928737415094586,-0.0010326377625125005,-0.008433557813625203,-0.0024722338074258943,-0.009344089442382186,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumice,100000,2.3606048946468565,2.573233797244251,2.447885499856345,2.448456545544608,2.4180083254120706,-0.0005959641246184866,-0.0014551570763114974,-0.0005920734349196266,-0.0008254927632658227,-1.5832717399355545e-06,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumice,20000,1.8943651114353453,1.967394209182826,1.9854142764752163,1.949770853528076,1.959592686932653,0.13182005275062547,0.10963086552441514,0.1353331595727254,0.15085620998436655,0.13207783408243923,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumice,100000,2.250852916320712,2.211229422180168,2.296280334641537,2.2963583732662687,2.277525654320064,-5.1036157965533846e-05,-0.0007198443321971837,-5.19716291904615e-05,-8.595819404866312e-05,-0.0012490712508648194,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumice,20000,2.2599755118755813,2.3494445784450138,2.247031331181812,2.1704749214755736,2.4258979693587825,0.03492334733851643,0.028921730382185373,-0.008167525075666537,0.026180765947771856,-0.005543746222571144,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumice,100000,2.3490124621768387,2.4205015062422115,2.2312921452636085,2.22966299263285,2.4073550562114137,8.403836237902418e-05,-0.0004476955335048771,-0.001105880721328445,-0.0003749346268391296,-0.000497837065672746,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumice,20000,2.2062222519964796,2.129159217074408,2.1978042436134126,2.187484277213923,2.2238183971581145,0.005018685211101714,0.0023413094584241456,-0.0041623648743314146,0.0005527601852587383,-0.020666950396263983,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumice,100000,2.234826859564875,2.1363594357573836,2.1891518486945336,2.193645550490491,2.1780347053920157,-0.0007129094674096503,-0.0010324921273214827,-0.0002091423028418582,-0.002262285222909055,-0.0009079998017711421,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
5,neumice,20000,2.2068341828512117,2.0540074970656024,2.372184223404874,2.3712450779759067,2.201812689753613,0.0002180532652361622,-6.739531697630419e-05,-0.0003639744500294473,3.206867539018443e-05,-7.935935072644895e-06,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
5,neumice,100000,2.2522404535421012,2.0581444238028848,2.3713495011177517,2.3714587190993486,2.2573708280972618,-0.000223562755431006,-0.002081606829194005,-1.1967174848637185e-05,-5.802503708096651e-05,-0.0001301874666785885,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
6,neumice,20000,2.1962707734750793,2.038706853247299,2.1867072900024103,2.1855632682447124,2.1752676532180404,0.0007814717877444588,0.00017680313596402097,-0.0014886851983775262,-0.0009647353989721275,-0.0016456028152480595,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
6,neumice,100000,2.2103762173573744,2.040116390823143,2.1841567832021123,2.1840376546189795,2.189427749846394,2.1856902993722116e-05,-0.0005144626842963351,-0.00032058020613723315,-0.00026602058188540667,2.485250168993147e-07,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
7,neumice,20000,2.2962331974979984,2.399291316941073,2.392918621509685,2.3927221863759613,2.406321068529878,-8.100670865673898e-05,-0.00041863640024386584,-6.600163306424989e-05,1.6093970604424968e-05,-5.530496078609559e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
7,neumice,100000,2.3231222565564966,2.3985773766085545,2.3927986285610654,2.39277841104441,2.3839496007805985,-3.371331019597079e-05,-0.00012094882521451744,-1.5853304879964725e-05,-7.403852874787731e-06,-0.0001592008102375697,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
8,neumice,20000,2.226961627237668,2.0355897766891324,2.1608391524706665,2.15242645261966,2.295156287763208,-7.94176222778109e-05,-0.0012449485122634218,-0.0050185601410936975,-0.0011057656688673312,-0.00684940279094981,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
8,neumice,100000,2.2201932748373374,2.0330679476705416,2.151456603665398,2.15325199920091,2.2303292208066847,-0.0005058024990640675,-4.537209951527288e-06,-0.0006546834129519397,-0.0014897320716737994,-0.00022158835026497847,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
9,neumice,20000,2.2864629266025243,2.446209603323928,2.373244550865567,2.3662653939635505,2.3419492232706425,0.0009369688957208133,-0.0004254100034390973,-0.00328999421121301,-0.0003395531008481001,-0.01998260621947945,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
9,neumice,100000,2.3368768003155314,3.0829005806972125,2.3671448710800496,3.5118574992999267,2.3294746945674976,-0.0024764055194006485,-0.26081267658053453,-0.0007113523706703262,-0.48463903092421456,-0.0022403931304459945,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumice,20000,0.4354033048083317,0.5625980829874248,3.427050300940787,0.5561924386809493,4.409481475866366,0.8050262226432571,0.7404978558271185,-0.5874026637679515,0.7423728042487852,-0.9957488613469865,True,adam,20,1000,,0.005,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumice,100000,0.49216162957928694,0.7739186912938476,2.819777589243546,0.7710793683349318,3.477796274522325,0.7786990715414,0.6430248060217565,-0.30611519042180424,0.6428376195892525,-0.553997997838853,True,adam,20,1000,,0.005,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
