iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumiss,20000,0.5823187187497614,0.6350278313621514,2.3587315329224317,0.6443282722007667,2.3588124611639496,0.7392374403998616,0.7070891479528615,-0.09255960364709725,0.7015484671025344,-0.06760790566063002,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,neumiss,100000,1.15294217499408,1.1491770594568793,1.1877654362428796,1.1554898223360772,1.169033440828846,0.48157849281469933,0.46993436348055795,0.44982948837784587,0.46477948647864387,0.4776359846712953,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumiss,20000,0.6243597020877554,0.6681726906423012,2.7475431173896894,0.6898066438018916,2.1897878510860456,0.7318545740106694,0.712118952958566,-0.18956847862756354,0.7013432711497578,0.04671512189635585,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,neumiss,100000,1.06017742623632,1.1260127834906333,1.190120921260023,1.086746662616287,1.112166039599795,0.5506767950932782,0.514859341554776,0.48472862000755856,0.5294852459566757,0.5255539181143939,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumiss,20000,1.1725025764300143,1.1530696613453646,60.455096162389395,1.1126064784784684,6.842336750813754,0.49288369196131077,0.48524817633315864,-25.93895347447492,0.5042195602729445,-1.9982852660848667,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,neumiss,100000,2.2339414535746833,2.239923565408097,2.236018296079892,2.2452167943892256,2.271994939183423,6.833896397773209e-06,5.630290986724518e-05,0.0036242323662831755,-0.0004746432243627474,-0.00201502816392507,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumiss,20000,1.1130668857730213,1.0652717857202099,56.16348742604372,1.1061036066879815,6.005446818942539,0.5542186765863276,0.5728741853922059,-21.546285017542115,0.5559654800966968,-1.5906248344339895,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,neumiss,100000,0.5961525064421318,0.8675798741137137,1.1340253731162346,0.9354423934236576,1.107265338939665,0.7519502084975237,0.6521397023412058,0.5447565589107821,0.6244757619904939,0.5326671596806063,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumiss,20000,1.0389627021415735,1.1396108368626345,1.0727480042257598,1.090690349050064,1.0577514860901827,0.5772867946434892,0.5756465586862738,0.5970054669793068,0.5902651450721266,0.5784282441329072,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,neumiss,100000,0.9462013384610275,1.0321271573722743,0.9493845899571439,0.9875362122170387,0.9809559453419388,0.6309115523363171,0.6156699314038971,0.6433488592104581,0.6290166067746172,0.6134223226051884,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
