iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.21285237013190766,0.21537992074099813,0.2171459106436762,0.21975111704852443,0.21467148508105105,0.9046846218996373,0.9006545650719475,0.899418459983659,0.8982117337253411,0.90283883167238,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
0,oracle_impute,100000,0.21122121640858074,0.2126096168131793,0.21464787494696771,0.21743562078621126,0.21680972467708162,0.9050241861777576,0.9019323863639471,0.9005755449899847,0.8992842668404027,0.9031220199617777,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,oracle_impute,20000,0.2167799504017356,0.24228881116095363,0.24094897471363816,0.2465868198043217,0.23225619038338755,0.9068989366993945,0.8956102851548902,0.895679415015229,0.893238469588453,0.8988914318669565,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
1,oracle_impute,100000,0.23366443023707703,0.23543467186135222,0.23182733205081632,0.24023881119091064,0.230385591885927,0.9009686038689306,0.8985633792064299,0.8996286955620275,0.8959868854006656,0.901718324871251,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,oracle_impute,20000,0.21066288592033916,0.24665890295038784,0.22817988720430202,0.23313294259469908,0.2291959861374461,0.9088866949239709,0.8898868608083641,0.8983224284567133,0.8961153336510083,0.8995672131746558,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
2,oracle_impute,100000,0.21880369464443156,0.23893940359630927,0.21979571089892078,0.22631643775305105,0.21702219660811117,0.9020555355143571,0.8933329894365952,0.9020584399718677,0.8991527865448792,0.9042869776265301,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,oracle_impute,20000,0.25027405835013916,0.2611320703758725,0.25604306108306746,0.2689332341972066,0.24076920210996594,0.8997656813139738,0.8952978481410668,0.8972140068840195,0.892039372432419,0.8961371746086388,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
3,oracle_impute,100000,0.24553126639129252,0.25917050830817046,0.24458005113680378,0.2614748459308294,0.23588963774463995,0.8978382565240275,0.8960843458286072,0.9018157205818683,0.8950334697602722,0.9004403275960196,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,oracle_impute,20000,0.2496483317643223,0.25692951373582446,0.2443469076854569,0.2508219024485036,0.24686526817820048,0.8984278778107452,0.904327933885731,0.9082072699554256,0.9057748371002102,0.9016107035186791,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
4,oracle_impute,100000,0.25443267345379345,0.25476232806933036,0.23906356919443697,0.2471328287704719,0.24455604248599724,0.9007524544060352,0.9051349222591255,0.910192038530703,0.9071606952125544,0.9036247169447051,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,1,,
