iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.2086385112221279,0.20708179886726993,0.2024156082188398,0.21063860080771454,0.20425216278370636,0.9065715896369396,0.9044821295161877,0.9062415058259898,0.9024326325403715,0.9075546584027434,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
0,prob_bayes,100000,0.20700522383751996,0.20797528395408285,0.2024156082188398,0.21019431557110493,0.20620659559843452,0.9069199111068786,0.9040700035192712,0.9062415058259898,0.9026384245498653,0.9078598596908479,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
1,prob_bayes,20000,0.22181267017146156,0.22813745000978994,0.21916709464893425,0.2324259315910127,0.21357790508873223,0.9047375211211219,0.90170737460843,0.9051100360548852,0.8993695276021757,0.907022688468581,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
1,prob_bayes,100000,0.22480004626810082,0.22794510072183058,0.21916709464893425,0.23267255788393296,0.21803229118471462,0.9047254971170767,0.9017902479661576,0.9051100360548852,0.8992627489815959,0.9069881990693105,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
2,prob_bayes,20000,0.21941094951843435,0.23465943701771494,0.2105061163429814,0.22122720567622584,0.21114048799048205,0.9051030906884382,0.8952436464206616,0.9061979082950506,0.9014205620483724,0.9074790620118862,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
2,prob_bayes,100000,0.21560038545985946,0.2345681542004856,0.2105061163429814,0.22213702153158915,0.20833360893579828,0.9034894528125761,0.8952843967744463,0.9061979082950506,0.9010151456558133,0.9081188943579583,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
3,prob_bayes,20000,0.2560213831717816,0.2536692062966,0.23063723840434905,0.2528648155673003,0.22056083341075783,0.8974638878657745,0.8982901191670111,0.9074129269559577,0.8984898825914989,0.9048546444978793,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
3,prob_bayes,100000,0.2419171504333455,0.25266041096722747,0.23063723840434905,0.2522113845999038,0.22493066202725923,0.89934203399732,0.8986946004764822,0.9074129269559577,0.898752196089207,0.9050656771566761,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
4,prob_bayes,20000,0.2452282806635974,0.248804120981807,0.22943407548555333,0.24095718539036226,0.23293942554891137,0.9002262233767367,0.9073535618156,0.9138095081555829,0.9094806720479958,0.9071609126238996,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
4,prob_bayes,100000,0.24945132556764663,0.24947717088905866,0.22943407548555333,0.24085159787703705,0.23516982641156775,0.9026955482105326,0.9071029402568366,0.9138095081555829,0.9095203376455616,0.9073236614557291,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
5,prob_bayes,20000,0.2548401535075925,0.2566959359881894,0.24576826069768473,0.2560071907230368,0.24979442598037144,0.9043041807697781,0.9047421145371568,0.913847701510513,0.910258518134055,0.9082741669463561,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
5,prob_bayes,100000,0.25363386198261806,0.2562185538423217,0.24576826069768473,0.25551627849707503,0.24780817284139497,0.9055756584383265,0.9049192673759737,0.913847701510513,0.910430603888754,0.9076803080765682,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
6,prob_bayes,20000,0.23576397196400461,0.23738480255634467,0.2244728202559988,0.23812338984274292,0.22222527053883573,0.900584376430076,0.8981191422506143,0.9045994853525527,0.8987980196681059,0.905925604395844,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
6,prob_bayes,100000,0.2309974084916659,0.2377381980668507,0.2244728202559988,0.23848547047530055,0.2225155744053938,0.9015242022337455,0.8979674718936772,0.9045994853525527,0.8986441360992601,0.9067405649482015,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",square,1,,,
