iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,20000,0.21693477913958978,0.21545199830311768,0.2024156082188398,0.2186987038087369,0.20630260992741004,0.9028565174820713,0.9006213188123486,0.9062415058259898,0.8986992093774391,0.9066266178667539,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
0,bayes,100000,0.2189602111101141,0.21545199830311768,0.2024156082188398,0.2186987038087369,0.2078153808452671,0.9022465469636636,0.9006213188123486,0.9062415058259898,0.8986992093774391,0.9068456836571501,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
1,bayes,20000,0.2318244295806392,0.24226555922386378,0.21916709464893425,0.24347738390925097,0.21677728280066194,0.9004377441132533,0.8956203032117322,0.9051100360548852,0.8945847221381139,0.9056298967464917,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
1,bayes,100000,0.23433384060241255,0.24226555922386378,0.21916709464893425,0.24347738390925097,0.21939891034883557,0.8990663090710336,0.8956203032117322,0.9051100360548852,0.8945847221381139,0.9059927003567912,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
2,bayes,20000,0.23180702463804695,0.2418207434353023,0.2105061163429814,0.23044306584804536,0.21494569622747794,0.8997416936431811,0.8920467055402735,0.9061979082950506,0.8973139499650993,0.905811634609981,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
2,bayes,100000,0.2312690348214199,0.2418207434353023,0.2105061163429814,0.23044306584804536,0.21569300477341705,0.8992085408771525,0.8920467055402735,0.9061979082950506,0.8973139499650993,0.9056865095851985,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
3,bayes,20000,0.26649846563951035,0.2594255096688679,0.23063723840434905,0.26677304680521846,0.22587654139308266,0.8932678348273853,0.8959821018140993,0.9074129269559577,0.8929065586215815,0.9025615586498501,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
3,bayes,100000,0.2575582662046746,0.2594255096688679,0.23063723840434905,0.26677304680521846,0.22749771630215201,0.8940370121658617,0.8959821018140993,0.9074129269559577,0.8929065586215815,0.9034297973342768,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
4,bayes,20000,0.25843034786885816,0.2615083534242627,0.22943407548555333,0.2570013628251636,0.23656535596704506,0.8948548196351351,0.9026229251966579,0.9138095081555829,0.9034534263504328,0.9057157812550233,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
4,bayes,100000,0.25866696702073577,0.2615083534242627,0.22943407548555333,0.2570013628251636,0.2409576034864586,0.897048364987137,0.9026229251966579,0.9138095081555829,0.9034534263504328,0.906067646052586,,,,,,,,,,,,,,,,,True,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
