iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,gbrt,20000,0.5813901191896726,1.0637609854020629,0.7060368599430574,0.9871587147477169,0.6073526885176836,0.7396532676613521,0.5093331012906012,0.6729651759461193,0.542750109935037,0.7251097565146154,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
0,gbrt,100000,0.7499214326413994,0.9468322039071212,0.5741553681467728,0.8967522717346176,0.5558090423745135,0.6652021425491447,0.5632672870459727,0.734052412197552,0.5846261887370852,0.7508557299802431,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
1,gbrt,20000,0.6799005213904916,1.1772322130908606,0.6278287390723927,1.1662249955718562,0.7472660403236572,0.7080013102559318,0.49279153898115635,0.7281770490697339,0.4950745322468816,0.6746911278151306,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
1,gbrt,100000,0.8486449530075679,1.0790917881738358,0.5369746076880104,1.0970484783298713,0.651218397662618,0.6344665065229541,0.5350751711587085,0.7675129962160803,0.5250250010316924,0.7209681536480571,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
2,gbrt,20000,0.7009624244337022,1.1602481935088078,0.7162012681894726,1.153194553684239,0.8309908558826173,0.696828404560964,0.4820435455582305,0.68085878830974,0.4861334047791257,0.6358630493964235,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
2,gbrt,100000,0.8892848720690988,1.086144402289817,0.5993992207117733,1.0814633417463584,0.7296862200061348,0.6124326808345483,0.5151248614139403,0.7329060948639008,0.5180970257759678,0.6809388677734118,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
3,gbrt,20000,0.7058862988721413,1.2604880412090573,0.7609052178603554,1.1956804547591477,0.7964912249874254,0.7172937830485683,0.4946012945975019,0.6945420111989113,0.5200057268807834,0.6564102538794095,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
3,gbrt,100000,0.8754607321739706,1.1513705824357483,0.6566849388174444,1.0995872439048846,0.6944329611078313,0.6398234998254833,0.538352461286829,0.7363802271573388,0.5585814104692342,0.7052210770200721,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
4,gbrt,20000,0.8425112957408015,1.4764303811186776,0.8254733601489713,1.498147039572636,0.997104304874253,0.6572151727510886,0.4502260834824203,0.6898980469002591,0.4371976790162825,0.6025994592149055,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
4,gbrt,100000,1.0688583357326145,1.3412185607058331,0.6429273360153348,1.3628008538314744,0.8615490965293444,0.5745853653900113,0.5005745001896933,0.7584743103477157,0.48804258639810283,0.6641428470929447,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
5,gbrt,20000,0.7458792819690899,1.3073608675114508,0.8228584040869859,1.3656821609235217,0.9290237898357331,0.7199125492884497,0.5148484478471096,0.711552896853972,0.5212699278757629,0.6588575557085004,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
5,gbrt,100000,0.9488506546155654,1.1819890892287193,0.6846200323668988,1.250370568327553,0.7674678712793562,0.6480916097649758,0.5613729494912606,0.7600113651253464,0.5616915784030703,0.7128882290597234,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
6,gbrt,20000,0.7418155434143662,1.1299520666970062,0.8409488014824946,1.2270809747582907,0.8914763175293782,0.6871954005183596,0.5150469426388085,0.6425983851314847,0.4784929579780439,0.6226122458366462,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
6,gbrt,100000,0.918288517398468,1.060914658285516,0.7009271715578279,1.150408379999206,0.7711031546016225,0.6109000713218337,0.5446764315951953,0.7021073071531059,0.5110786625236096,0.6735666136389642,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
7,gbrt,20000,0.6314580308037577,1.016796589371658,0.6848941024106558,1.1318228482268409,0.7094513084571382,0.7709477666055109,0.6407742547028247,0.7726453505152929,0.6242847090788548,0.7522440118189896,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
7,gbrt,100000,0.8036023664417051,0.9428846285852341,0.556082057519875,1.037061983591287,0.6109824606438828,0.717036968941219,0.6668867333218631,0.8154052709357964,0.6557411387491547,0.7844512604598062,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
8,gbrt,20000,0.7750693708158823,1.4143700888539195,0.7465600823050893,1.3130784138233258,0.9149072728634235,0.6512744318202679,0.3954556530104397,0.6585245499451369,0.39939992380357503,0.5891195097785054,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
8,gbrt,100000,0.9956053440815752,1.2692205769463618,0.5587294756435335,1.2028235099860016,0.7987074006069517,0.5513365355123268,0.4574969232434041,0.7444379847296416,0.4498303497009245,0.6439577958644028,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
9,gbrt,20000,0.6509637808503804,1.078311042254252,0.7258589735053765,1.0248050111690163,0.7687936007340475,0.7255825722858036,0.509320893696708,0.6714718078223215,0.536167010475777,0.6805384580591833,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
9,gbrt,100000,0.7822023189790829,1.00498242629651,0.6316159256366196,0.9419380349923547,0.6632346841528705,0.6600022785919812,0.5426886496916599,0.7141267852652748,0.5736731085860978,0.7192009946185705,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
0,gbrt,20000,1.1366211831150557,1.9385238744810733,1.4438171226771892,1.9643478853748406,1.3929101883061317,0.5503226951618077,0.2071575743343841,0.4356384943980365,0.23217261195755923,0.4488964194168833,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
0,gbrt,100000,1.477985951128613,1.830382027951321,1.1164890635113414,1.8315076319596109,1.2932288915020884,0.4286586792972703,0.25138681754737224,0.5635850004999099,0.28409741894623997,0.4981616852531907,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
1,gbrt,20000,1.0035046851560567,1.882711351512542,1.3752600601868388,1.8359306209212245,1.4555807474909144,0.5709397093902506,0.2672834492234907,0.4378518459236199,0.2495492020447715,0.39822113646013013,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
1,gbrt,100000,1.3108103925420493,1.754670194381075,1.0716201239656393,1.7326179382295321,1.2895076147485707,0.45123881387999343,0.3171147071778392,0.5619670111872919,0.2917790577274294,0.46614270284078907,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
2,gbrt,20000,1.0379297911248953,1.8389878243249218,1.438032993293647,1.8559682740754098,1.5899819762487402,0.5243209316578882,0.1677427991742344,0.3737229255000195,0.1917081273702229,0.2957819194784955,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
2,gbrt,100000,1.410126198427875,1.7136571867488004,1.0897225010396412,1.7507413348614147,1.4297340969974024,0.3811551277710583,0.22446276448727387,0.5254154646307562,0.23753546231793443,0.3798506318613778,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
3,gbrt,20000,1.0193083653207213,1.780395073585996,1.2923550842784957,1.654254771397011,1.4983589781755788,0.5647250600440459,0.2641226853547446,0.42016365826517077,0.25779141768940705,0.3789246212613222,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
3,gbrt,100000,1.3671446207961617,1.6856420552588744,1.0494754119860337,1.5810908233613845,1.3474447796716729,0.4333913664717509,0.3032862382737349,0.5291356137107124,0.2906176250467597,0.4404849994545975,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
4,gbrt,20000,1.0702867170445944,1.7623281075057742,1.4997005893971578,1.7894061123172897,1.5386984022107892,0.5173127802684209,0.17422711371735788,0.3147966226616452,0.1824320666016629,0.29378288813012865,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
4,gbrt,100000,1.369434477402209,1.6647040702221314,1.138781265372074,1.6924200035006902,1.3777918507391136,0.3758394695207662,0.21997074266757244,0.47969829804744546,0.22674438453090529,0.3735894211393713,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
5,gbrt,20000,1.1844998099156696,1.7676251204045308,1.593217374739829,1.979318873289104,1.651870161634683,0.46337539310071063,0.13936816073687575,0.3281309059251951,0.16530964363913236,0.24976212624431604,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
5,gbrt,100000,1.4610920109700494,1.7297424457024637,1.3332287234055502,1.8894401673003312,1.5180501514384237,0.3476190886951276,0.15781270286783688,0.4377696422402677,0.20321202013007023,0.32779431339602005,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
6,gbrt,20000,1.1487323880563538,1.7641146292500278,1.5656607714392448,1.8563871055569883,1.6630760595035567,0.4773710509805481,0.13484240000373227,0.28294401604448927,0.14979444662598596,0.23420328542803326,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
6,gbrt,100000,1.4765093533748461,1.6993481708694214,1.3288345188491033,1.8156500645060671,1.5218765228418278,0.3247283505183085,0.16660518500860733,0.3914079213011906,0.1684515782263084,0.30236633641147925,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
7,gbrt,20000,1.0153518527409047,1.760344554450291,1.431187584056766,1.8304884548587825,1.5417802061507537,0.5577826746172592,0.2659993030762894,0.401867647353781,0.23498891536429145,0.3592436626976857,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
7,gbrt,100000,1.3697692382499644,1.6593720114810262,1.059444678145748,1.722754581770112,1.3375238595759587,0.4153926939687347,0.3081012408601361,0.5572291536783635,0.28001384129857054,0.4409188647033907,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
8,gbrt,20000,1.1248739379091763,1.6670941728076176,1.4430861366146273,1.7227776176017469,1.5994731867896639,0.494843890005372,0.18000687646764169,0.3288124432946683,0.19872634725924343,0.29833596453303535,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
8,gbrt,100000,1.4133002945777042,1.596083627159547,1.1677805864837763,1.622871708277356,1.4282733364830118,0.3637346389422056,0.21493481280109683,0.4568586179833304,0.24519315300180966,0.3555784158494669,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
9,gbrt,20000,1.0592078311195485,1.9707677316605972,1.5585229606612754,1.857083634297717,1.5849259084373535,0.5371823553246511,0.1940158712119079,0.3411338533950913,0.21491722038306027,0.3097216443937012,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
9,gbrt,100000,1.3790201764790466,1.8910933645358192,1.2833243200537512,1.8040577282573016,1.4495120004334554,0.3897065442813288,0.22660026679651446,0.45747417847509886,0.2373339413842439,0.3701031129821133,,,,,,,,,,,,10,,,,100,,,,,,50,0.7,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,10
0,gbrt,20000,0.59149131611663,1.0135037373023874,0.6204399398587073,0.9750547985404849,0.5917606608426724,0.7351299475603708,0.5325145945030225,0.7126134936013719,0.5483566190732628,0.7321667702811561,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
0,gbrt,100000,0.7519991919425606,0.9436590886674663,0.5838103884743953,0.8910234603740104,0.560361552364227,0.664274539560286,0.5647309077608278,0.7295802266032541,0.5872797623982466,0.7488150438962254,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
1,gbrt,20000,0.6954284061246583,1.1737898096050732,0.5894604311895171,1.1738228397191524,0.7422498760472672,0.7013325081970649,0.49427469256361567,0.7447888828738594,0.4917849911852894,0.676874824993099,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
1,gbrt,100000,0.8528826128853865,1.0743822343977318,0.5507091769422875,1.0948767140962836,0.6529591372764141,0.6326412359974924,0.5371042742500955,0.7615665160502157,0.5259652819171625,0.7202222874529391,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
2,gbrt,20000,0.7183560927875821,1.1352255408543523,0.6625142239454345,1.1417930919572754,0.8265276315912436,0.6893055103207435,0.4932141248550913,0.7047818796433037,0.49121392679465026,0.6378188168658434,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
2,gbrt,100000,0.8933542833813166,1.0626827383530726,0.6034625610053878,1.0557736855877484,0.7249285750257358,0.6106591537203534,0.5255985862048664,0.7310954594986603,0.5295444056655494,0.6830191860699057,,,,,,,,,,,,10,,,,100,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,50,20
