iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,mice_impute,20000,0.3469867604398522,0.3605673586382423,0.25673268621079803,0.35909234529048,0.2636838674129288,0.8446191872486617,0.8336858842665703,0.8810819468113888,0.8336691628668809,0.880655632408224,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
0,mice_impute,100000,0.3641507778041761,0.36269128145194907,0.26172117491503916,0.366880937803992,0.48344685142527644,0.8374271025052842,0.8327062106045345,0.8787712890847967,0.8300615028043606,0.7832924553060069,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,mice_impute,20000,0.3699924696532092,0.4339814072235545,0.2781321764860911,0.4220892622144457,0.3350558477638065,0.8410983475450826,0.8130198619941587,0.8795806813928131,0.8172534296843013,0.8541394442228629,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,mice_impute,100000,0.3670094134668463,0.3955697330944746,0.27322037430021934,0.3870028893545098,0.27109477002878524,0.8419194828555099,0.829569465295461,0.8817072813419045,0.8324443262054108,0.883842234050831,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,mice_impute,20000,0.3657274976673397,0.43325437891234053,0.2952770607279277,0.4249257280225991,0.34934129959478577,0.8418200675260009,0.8065871567581084,0.8684237474428498,0.8106519525407739,0.8469200056127878,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,mice_impute,100000,0.3765793468932838,0.3930314461527774,0.2653832280668782,0.38761817909580576,0.28982804376308596,0.8358795336426614,0.8245434248703543,0.8817445196911744,0.8272762967000482,0.8732703712106693,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,mice_impute,20000,0.433943394749282,0.47050062401951925,0.3350072343873993,0.448606158798701,0.3283233658412743,0.8262064362254291,0.8113505257515616,0.8655146085900938,0.819911426792737,0.8583681296468242,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,mice_impute,100000,0.4404445695511717,0.4701195747626649,0.30783398349892166,0.449290289837138,0.3015685486925104,0.8187950895434472,0.8115033092725573,0.876423045502804,0.819636789050516,0.8719875683228199,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,mice_impute,20000,0.48926814897678794,0.5330998436379255,0.31460571999497816,0.5223286543739438,0.3544685833037221,0.8009359651636054,0.8014912232369098,0.8818134503950721,0.8037790876109094,0.8587249036960176,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,mice_impute,100000,0.5016631936613899,0.5278379329082787,0.32029035143165413,0.524113858620208,0.4558645680569948,0.8003338168453709,0.8034505850240954,0.8796779298607119,0.8031084477693662,0.8222905966060495,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,MICE,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
