iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumice,20000,2.2344019098314645,2.1695886540959606,2.159217410598064,2.161195672863174,2.209621287243802,-0.0005660859297749177,-0.0007373376059700565,-0.00014507178274625332,-0.001061398802634006,-8.338671123264696e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
0,neumice,100000,2.241761735646225,2.1756411266054427,2.1595260781359435,2.161723250267856,2.2312815410797233,-0.0008208771498892098,-0.003529081199225681,-0.00028804595260711885,-0.0013057715733828523,-0.00018345938726871402,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,neumice,20000,2.328252391149307,2.3208983681676,2.3097556890123707,2.309890275433457,2.2971782742968054,7.92377409712941e-05,4.4955949079716895e-05,-2.5274795389496063e-05,-8.354495070128642e-05,-3.537333960723643e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,neumice,100000,2.321722632830703,2.3209498513059255,2.309810417321958,2.309801735776943,2.3339173031782465,-2.6432556611721836e-05,2.2774528058322474e-05,-4.896980914992355e-05,-4.521107203303565e-05,-2.895599390773107e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,neumice,20000,2.310628727587269,2.239609153389432,2.2460199113403965,2.246041249118426,2.282163323442883,0.000635450073033339,0.0001966623048076377,-0.0008325142981930878,-0.0008420224694818401,-3.5063556947267926e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,neumice,100000,2.3517331225968094,2.300838633599339,2.2938848337515965,2.308952313633017,2.323024583892179,-0.024930177432075595,-0.027137320763872097,-0.022161252481507132,-0.02887536204826513,-0.01576106771018071,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,neumice,20000,2.5035590858315855,2.504023589413449,2.4910563946030218,2.5030699760812065,2.3204366466351867,-0.0026709955990129597,-0.004000227699883174,-1.0327732009596247e-05,-0.004833063009004102,-0.000988100426197569,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,neumice,100000,2.4310061225689865,2.495064452305307,2.4910338233349067,2.4910616182530285,2.3566856323652012,-0.00014911571810305446,-0.00040801885065433474,-1.2667162598845039e-06,-1.242471542872714e-05,-0.000386346009015881,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,neumice,20000,2.4576101339398346,2.691975626235529,2.662091995072412,2.6795894439681622,2.5091660445583153,9.475307151951551e-05,-0.002402823818895783,-5.641230403963249e-05,-0.006629602110983734,-3.9753266156905553e-05,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,neumice,100000,2.5126351712335895,2.6859749628845604,2.662826449254233,2.662900261258019,2.565560855050344,-4.999497514601714e-05,-0.00016837495198362973,-0.00033232148202189116,-0.0003600501134246592,-0.000131005717618482,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
