iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,neumiss,20000,1.2589206494292267,1.3231675638865241,34.90389261750248,1.3203319075889568,3.749176971350856,0.43625482006924055,0.3896800747964223,-15.167411403819745,0.388424971005191,-0.6968924152451925,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
0,neumiss,100000,1.317426624507289,1.299247607528293,5.345431498910106,1.2895279325350608,1.3694005054786216,0.4118429050891438,0.40071331531249677,-1.475992896290327,0.40269330901055156,0.3861591602673753,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,neumiss,20000,2.1761433418869873,1.9466611032820484,28274.177091115653,1.9417709645841907,67.38589918175805,0.06540591669685314,0.16128443365597422,-12240.507554093962,0.15929634823052752,-28.33524298051396,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,neumiss,100000,2.323167532779915,2.3220768728449124,2.328038737803998,2.3101479362214814,2.3357636381658713,-0.0006487886129207254,-0.00046280075094617956,-0.007941051766486629,-0.0001951010349978688,-0.0008200673360170274,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,neumiss,20000,1.438914511664815,1.4675908598891092,38.39935683164086,1.4494825191728373,1.71954277300833,0.3776584978085893,0.344840041456578,-16.110856698643108,0.3541066903412817,0.24650306635369434,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,neumiss,100000,2.2946920260253036,2.239226101151436,4.2204169410210675,2.245990182516449,2.298666173672286,-7.057892227613216e-05,0.00036766397511267535,-0.8806291418618883,-0.0008192670542714886,-0.005110158139854493,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,neumiss,20000,1.3746976190765012,1.4512205943577254,1.4381065141433962,1.4046290785753037,1.2426438472330918,0.44943602962372786,0.41812616568871264,0.42268614647270697,0.43612533692484057,0.46394929335740964,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,neumiss,100000,1.25203056776402,1.3114548285728171,1.9997168599958703,1.2874277835211692,1.1714959349555076,0.48489752716956225,0.4741659175768195,0.19723314298776584,0.48317465533113013,0.5027132504905321,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,neumiss,20000,1.3616440718994993,1.5443857011043167,113.89006331971432,1.5275767973390422,1.4258868719879811,0.4460003915435099,0.42492176646585844,-41.7845800713943,0.42614193112277343,0.4317061803299991,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,neumiss,100000,2.512179449920079,2.68527102346654,2.710414280070382,2.6625967252118143,2.5683108341282925,0.00013138595213846305,9.374884049961896e-05,-0.018209432958042004,-0.00024602205957280354,-0.0012030283654216323,True,adam,20,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
