iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.22283189399617895,0.22522180359986688,0.2200913815265566,0.22957939031713212,0.21818331430421994,0.9002157870457189,0.8961149305054503,0.898054123917669,0.8936592977244618,0.901249363792371,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
0,oracle_impute,100000,0.22337781659593076,0.22067015582449967,0.21520078157833186,0.2261896786533324,0.21528857400645776,0.9002743338926154,0.8982144086105932,0.900319439773437,0.8952294052081611,0.9034957862770948,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,oracle_impute,20000,0.23673271937148943,0.2579188822138899,0.2409181655037607,0.25675265748257314,0.23349485870134154,0.8983297678097768,0.8888760961000727,0.8956927540833912,0.8888370973281401,0.8983521998240415,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
1,oracle_impute,100000,0.24192074420973153,0.25137838053664796,0.23423775616736048,0.2540824031487238,0.229795477565648,0.8957984320036823,0.8916940599249795,0.8985850851702499,0.8899932030741652,0.9015380145606873,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,oracle_impute,20000,0.24570042055413127,0.26219104988412445,0.23978173510407247,0.2514428570904046,0.24296501306938334,0.8937326939320362,0.8829530204450042,0.893152613823546,0.8879563864979594,0.8935336792984631,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
2,oracle_impute,100000,0.23762087758402747,0.24733231503315672,0.22282485113028014,0.2389880987976187,0.2249941085614443,0.8964402865768893,0.889586237082578,0.9007086469363715,0.8935062602965875,0.9016195276082879,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,oracle_impute,20000,0.2672119204835025,0.2736618391086601,0.25943158732304655,0.2821506238209904,0.24662728641950551,0.8929820974214702,0.8902739774739009,0.8958537160278545,0.886733380099978,0.8936101188953766,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
3,oracle_impute,100000,0.26239602952383534,0.2685941776027917,0.24829927302911284,0.275343315260151,0.2403862368548286,0.8920466902737066,0.8923058805786914,0.9003226751769172,0.889466107821296,0.8979587664067389,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,oracle_impute,20000,0.2557114826795475,0.2744059755681618,0.24994829554660927,0.27112327883416976,0.25484897094898584,0.8959610193252074,0.8978202766393703,0.9061030211696149,0.8981483081633201,0.8984287617869385,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
4,oracle_impute,100000,0.2622152749420075,0.26898137806074846,0.24058777270431086,0.2639789984742479,0.2516600453726458,0.8956361085006149,0.8998402176100528,0.9096194476899179,0.9008321686003233,0.9018955197332293,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,1,,
