iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,prob_bayes,20000,0.21865510583591027,0.21750401821960486,0.2024156082188398,0.21995938782005378,0.20671511436528145,0.9020861544862807,0.8996748108445535,0.9062415058259898,0.8981152631315422,0.9064399167168141,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
0,prob_bayes,100000,0.22046871374028848,0.21605009237048242,0.2024156082188398,0.220274522841958,0.2082241163114546,0.9015730851494539,0.9003454439069916,0.9062415058259898,0.8979692932363585,0.9066624658762386,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
1,prob_bayes,20000,0.23376972960584153,0.244416510842535,0.21916709464893425,0.24546184662708478,0.2176465649383906,0.8996022909246655,0.8946935694304948,0.9051100360548852,0.8937255347858916,0.9052514703540485,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
1,prob_bayes,100000,0.23675385089727083,0.24560623448002852,0.21916709464893425,0.24536607153516612,0.22010462881636184,0.8980239475814672,0.8941809790608969,0.9051100360548852,0.8937670012981596,0.9056903165056819,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
2,prob_bayes,20000,0.23426148338018207,0.24364210433826908,0.2105061163429814,0.23288508831300223,0.21556418173733846,0.8986801215148412,0.8912336160299106,0.9061979082950506,0.8962257781856617,0.9055406166728295,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
2,prob_bayes,100000,0.2334469862320181,0.24357388179767395,0.2105061163429814,0.2327847515943137,0.21634917723101055,0.8982593480864169,0.8912640718456899,0.9061979082950506,0.8962704884974155,0.9053995929331972,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
3,prob_bayes,20000,0.2701068393619949,0.2621226646984874,0.23063723840434905,0.2720418532392902,0.2273837224530857,0.8918226875195816,0.894900664612258,0.9074129269559577,0.8907914475946662,0.9019113920924314,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
3,prob_bayes,100000,0.26056669141748723,0.26125906829980033,0.23063723840434905,0.27030671534031864,0.22906405625052037,0.8927993049514024,0.895246927716403,0.9074129269559577,0.8914880018046673,0.9027649037752731,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
4,prob_bayes,20000,0.260882240054666,0.2649159123301316,0.22943407548555333,0.2598895086546987,0.2371606127323548,0.8938572407972085,0.9013540627908163,0.9138095081555829,0.902368449286589,0.90547853891309,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
4,prob_bayes,100000,0.261102025951862,0.26481399051461757,0.22943407548555333,0.26020120210136505,0.24165884687131375,0.896079190990165,0.9013920151090633,0.9138095081555829,0.9022513567779196,0.9057942807763864,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
5,prob_bayes,20000,0.2689496123412719,0.2713772765055875,0.24576826069768473,0.2710349196303023,0.2535773064242271,0.8990058939676404,0.8992939821073872,0.913847701510513,0.9049906557064067,0.906885073259845,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
5,prob_bayes,100000,0.27051871408129397,0.27359405303615403,0.24576826069768473,0.2696939004415573,0.24709379828372663,0.8996704015139589,0.8984713534045505,0.913847701510513,0.9054607403507823,0.907561553169205,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
6,prob_bayes,20000,0.2573220238120377,0.2571881243833058,0.2244728202559988,0.2559092881642419,0.2276009979478256,0.8914938985696498,0.8896199485689166,0.9045994853525527,0.8912390472659991,0.9036499032314032,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
6,prob_bayes,100000,0.25114455232649424,0.2562623508626627,0.2244728202559988,0.25648587033413733,0.22707341542963574,0.8935842869134498,0.8900172722364348,0.9045994853525527,0.8909940009584691,0.9038723373015413,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
7,prob_bayes,20000,0.28634347404230814,0.2907527915102569,0.25924363936986833,0.29277047496150344,0.2740687631527999,0.8961330618222659,0.8972794663954864,0.9139425400910575,0.9028131086542289,0.9042891648305817,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
7,prob_bayes,100000,0.29122341200276153,0.28937308195776756,0.25924363936986833,0.29235233726526155,0.2686246441006443,0.8974549319205378,0.8977669062605167,0.9139425400910575,0.9029519119364163,0.9052318074985206,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
8,prob_bayes,20000,0.23864518850977537,0.23080383299863289,0.202369426818808,0.23333855408580254,0.21102159057906647,0.892626799496893,0.9013474948300768,0.9074365309126493,0.893271299041892,0.9052312106853373,,,,,,,,,,,10,,,,,,,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",square,1,,,
