iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,oracle_impute,20000,0.15030215165479943,0.16955272159992216,0.14514274633336563,0.1631905435524836,0.14465543240366666,0.8822799058635609,0.8646825084051097,0.8850438179933983,0.8707495737796781,0.8859250431198031,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
0,oracle_impute,100000,0.15772568409303772,0.16341801218083762,0.13585226176851142,0.15802526024233773,0.14207040546661068,0.8765496183411158,0.8695785282532185,0.8924020819200978,0.8748405894405847,0.8882487705115151,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
1,oracle_impute,20000,0.17061513088615887,0.19545962661939253,0.16594373137984153,0.19353039374971986,0.1683681254863706,0.8672726166569484,0.849096276443002,0.870347875129486,0.8487943680183722,0.8680641235020942,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
1,oracle_impute,100000,0.19109058778645466,0.19792754140539806,0.1670935637454753,0.1979082983592304,0.16983150354024884,0.8511710569817175,0.847190933958363,0.8694495091098136,0.8453739035610301,0.8676518111495904,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
2,oracle_impute,20000,0.1856616637115355,0.2033338888216079,0.16236418752316237,0.18951763396718027,0.1743419796501726,0.8549946089184842,0.8424312475146563,0.8724701096269554,0.851142278033785,0.8635300707772547,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
2,oracle_impute,100000,0.17873739477174713,0.18739987665768426,0.13969652957304754,0.17633547238150662,0.15220301453126506,0.8600274749848732,0.8547789305954557,0.8902745526971332,0.8614962831105566,0.8801622607577435,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
3,oracle_impute,20000,0.22951641756124969,0.24244481852402308,0.21743088289031257,0.238608708672602,0.21840359486679373,0.8242916310081075,0.8075113651339294,0.8299891415004662,0.8134300386971312,0.8281863843107389,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
3,oracle_impute,100000,0.2096847891213871,0.21510767762906616,0.16062219581635248,0.2151785878009687,0.17559453514589204,0.8364394303684861,0.8292156397975279,0.8744082853281052,0.8317502281347269,0.8619357712509153,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
4,oracle_impute,20000,0.17702685553235573,0.19451533842880336,0.1545739040703836,0.18489615619535185,0.16537952321408778,0.8604785947630391,0.8491486697986275,0.879344585889595,0.8556760118899872,0.8703126359978346,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
4,oracle_impute,100000,0.1769395862200573,0.1814965853031509,0.13428243534911988,0.17458644251699645,0.14683420313219847,0.8622120042326122,0.8592450264275253,0.8951834532339664,0.8637234425394406,0.8852785878916088,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
5,oracle_impute,20000,0.15848631207488842,0.16895810151782434,0.1486711343648162,0.1671697166869034,0.15454315208645156,0.8753694941789214,0.870004180137862,0.8851867822121171,0.8709010113394661,0.8786883397950551,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
5,oracle_impute,100000,0.15649870380034864,0.15862938649473804,0.13048467265579952,0.15623290455373726,0.1393136051321453,0.8779907805257403,0.8779510602548053,0.8992315138805025,0.8793471068018783,0.891081271106353,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
6,oracle_impute,20000,0.21061660729143028,0.2243856009611119,0.19954005171724504,0.2212019691325529,0.20145236196733945,0.8373316641191746,0.8202662651365364,0.8455332327308082,0.8287644370569638,0.8425480930711939,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
6,oracle_impute,100000,0.19303237505956483,0.20327789741012148,0.15244842719093563,0.19895748487507456,0.16264413364466096,0.8487302169844939,0.8371736173791067,0.8819875232024836,0.8459842059367078,0.8731474797718892,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
7,oracle_impute,20000,0.1890121458550244,0.20736302819748412,0.17629715146092753,0.2002737271162741,0.18550828520364765,0.8519242886414715,0.8344657672168239,0.8643510770187403,0.8459026980320425,0.8559911899037498,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
7,oracle_impute,100000,0.18277847017292223,0.1893946157384624,0.14125661308497722,0.18201127296056066,0.15560934739852242,0.8561040969353448,0.8488096326425503,0.8913124388558009,0.8599544408803448,0.877731503724146,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
8,oracle_impute,20000,0.1956616683959534,0.21148759120730837,0.1768224381058647,0.2070550213770573,0.18677697867971146,0.847563151550197,0.8382959212854939,0.8612529323768106,0.8375303645823292,0.8543885050194553,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
8,oracle_impute,100000,0.19951739823881445,0.20034186512778776,0.1561151452491161,0.19790831983486012,0.16823826480024417,0.8437862947953714,0.8468179785702943,0.8775013010401154,0.8447074968003826,0.8685096312184106,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
9,oracle_impute,20000,0.17320180068840227,0.18596945831569556,0.1619566250376286,0.18537404783391256,0.16850405476863944,0.8658103254387954,0.8519849711568082,0.8711634657034928,0.852534900218578,0.8686594190234852,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
9,oracle_impute,100000,0.17755873894710938,0.1779620723512323,0.14453060132511927,0.17847625140949122,0.15419338728364587,0.8620073582958969,0.8583581330470612,0.8850258717715794,0.8580220989385983,0.8794786645006715,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.3,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
0,oracle_impute,20000,0.3519488596896209,0.34626775232631274,0.30655364274600105,0.3618355601437937,0.3050775861303082,0.7257551688771887,0.7257215521765092,0.759984637135975,0.7167018062904643,0.7610144600108735,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
0,oracle_impute,100000,0.34030486233650153,0.3440791478968574,0.3025553319490045,0.35902610256718037,0.29861337313338826,0.734350600036127,0.7274551442357691,0.7631151039873488,0.7189014636609058,0.766051419536461,True,adam,,1000,,0.01,1e-05,100,,,,,,1,uniform,,,,,False,,50,0.7,10,"{'mdm': 'MAR_logistic', 'missing_rate': 0.5, 'prop_for_masking': 0.3}","{'mdm': 'MAR_logistic', 'missing_rate': 0.25, 'prop_for_masking': 0.5}",stairs,20,1,,
