iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s,R2_train,R2_val,R2_test,R2_test_m,R2_test_s,early_stopping,optimizer,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,n_draws,n_iter_no_change,verbose,mlp_depth,init_type,max_iter,order0,n_trials_no_change,validation_fraction,add_mask,imputation_type,n_features,prop_latent,snr,miss_orig,miss_shift,link,curvature,width_factor,max_leaf_nodes,min_samples_leaf
0,bayes,1000,0.16672732756407302,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13646181447253852,0.8679931353985425,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8925504497237031,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,2000,0.17459947225838443,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13705618692534793,0.8697097015014281,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8926526750743096,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,4000,0.18633307978690208,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13793733431414468,0.8616057620785462,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8924988074173255,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,8000,0.18394116965242105,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13722399280534053,0.8592989610739369,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8928728128043777,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,16000,0.18247569116001297,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13740528215993825,0.8581542905279125,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8924432934539879,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,32000,0.17980295723284376,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13796646250258712,0.8591125482722876,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8917023993497006,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,64000,0.18005208436547712,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13819162517413827,0.8594448264791749,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8919089099294871,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
0,bayes,128000,0.1802903289182122,0.1814887650842667,0.11445042330589324,0.17349825042085576,0.13845042056707435,0.8596210744884885,0.856214220791628,0.9102433960336868,0.8639357260370122,0.8920410717968981,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,1000,0.2063165286017166,0.195900756160659,0.1133648342718784,0.19549991625150231,0.15113364378520666,0.8276011242005149,0.8475375109988122,0.910755822111419,0.8460966364462832,0.882898538750068,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,2000,0.2051258011386942,0.195900756160659,0.1133648342718784,0.19549991625150231,0.1518139595253187,0.8340449937782359,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8822248211683832,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,4000,0.2023546730738788,0.195900756160659,0.1133648342718784,0.19549991625150231,0.15161385673718397,0.8399620826243089,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8823723387182023,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,8000,0.1973402522584035,0.195900756160659,0.1133648342718784,0.19549991625150231,0.15094354062195367,0.8439031489717382,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8827136455262522,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,16000,0.19847795665389067,0.195900756160659,0.1133648342718784,0.19549991625150231,0.15097404574492457,0.8411235982843108,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8820485165053757,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,32000,0.20004507121397197,0.195900756160659,0.1133648342718784,0.19549991625150231,0.1511154648804833,0.8410701925703203,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8819210229146575,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,64000,0.2013133949307627,0.195900756160659,0.1133648342718784,0.19549991625150231,0.1511549451002084,0.840716125952652,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8819865419802525,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
1,bayes,128000,0.19930089830854716,0.195900756160659,0.1133648342718784,0.19549991625150231,0.15168626771580898,0.8421923639614474,0.8475375109988122,0.910755822111419,0.8460966364462832,0.8820761199566478,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,1000,0.2119761263234779,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.14945405359476116,0.8381180978523017,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8838166344488974,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,2000,0.20885815246023157,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.1495473584197104,0.8391756063116959,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8838329723300252,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,4000,0.2065860608128853,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.14923370873759384,0.8406021726651091,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8837701636878691,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,8000,0.20368178229039338,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.1494971774727818,0.8429881341439316,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8836736570491033,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,16000,0.2044400826794015,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.14840620016900893,0.8409040891973634,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8842186939195383,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,32000,0.2047998086166616,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.14913021679209787,0.8399445358446792,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8839222285921735,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,64000,0.20496338618926233,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.15034650165376676,0.8404681682079285,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8831582883573336,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
2,bayes,128000,0.2052083334212414,0.20738441424539864,0.11767802757957975,0.20641999772469324,0.1512823281318401,0.8400452338368382,0.8393013631227086,0.9074105825239293,0.837588139962522,0.8822035321225176,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,1000,0.2477657293000172,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.177680741768519,0.8073780677999667,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8602321341535122,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,2000,0.2366356838967842,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.17853960910250882,0.8162248141353345,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8600516736375834,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,4000,0.23060601889003765,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.17857789853839548,0.8239939417212971,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8606403197977687,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,8000,0.22936624753735052,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.17891794881955014,0.8252090999412371,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8601708597624682,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,16000,0.22743014966308528,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.1777482983339319,0.8240465210576995,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8609157840782589,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,32000,0.2320862846065525,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.1777547366051542,0.820583871299698,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.860706328495571,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,64000,0.23151609165160622,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.176681094567572,0.8198607815319645,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8614773295539205,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
3,bayes,128000,0.23295181471401522,0.23356058284409054,0.11664571029995495,0.23520478260600636,0.17774170354376642,0.8186512088443936,0.8176017105310536,0.9084885257977456,0.8154759712950651,0.8610801834024463,,,,,,,,,,,,,,,,,False,,,,,50,0.3,10,"{'mdm': 'MCAR', 'missing_rate': 0.5}","{'mdm': 'MCAR', 'missing_rate': 0.25}",stairs,20,,,
